route_id,route_name,internal_route_cd,start_stop_name,end_stop_name,direction,departure_time,arrival_time
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:35:00,13:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:40:00,13:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,12:50:00,13:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:00:00,14:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:05:00,14:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:10:00,14:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:15:00,14:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:20:00,14:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:25:00,14:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:25:00,14:28:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:35:00,14:38:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:40:00,14:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:45:00,14:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:50:00,14:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,13:55:00,14:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:00:00,15:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:10:00,15:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:15:00,15:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:15:00,15:18:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:20:00,15:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:20:00,15:23:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:30:00,15:33:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:40:00,15:43:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:45:00,15:48:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:50:00,15:53:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,14:55:00,15:58:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:00:00,16:03:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:05:00,16:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:05:00,16:08:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:10:00,16:13:00
2,2,"pnj20,prv57","Panaji KTC Bus Stand","Margao KTC Bus Stand",onward,15:15:00,16:18:00
