depot,route_cd,route_no,route_name,Route Type,ETM stage codes,IsRep,
PRV,PRV151,151,PANAJI-SAWANTWADI via DODAMARG,#REF!,#REF!,#REF!,
PNJ,PNJ118,118,PANAJI-SAWANTWADI via PATRADEVI,#REF!,#REF!,#REF!,
PNJ,PNJ94,94,PANAJI-SECRETARIAT via SAI SERVICE,#REF!,#REF!,#REF!,
PNJ,PNJ48,48,PANAJI-SHEMECHADVN,#REF!,#REF!,#REF!,
PRV,PRV24,24,PANAJI-SHIGNE via MAPUSA,#REF!,#REF!,#REF!,
MRG,MRG13,13,PANAJI-SHIRODA,#REF!,#REF!,#REF!,
VSD,VSD10,10,PANAJI-SHIRODA via PONDA,#REF!,#REF!,#REF!,
PRV,PRV70,70,PANAJI-SINQUIREM,#REF!,#REF!,#REF!,
PRV,PRV110,110,PANAJI-SIOLIM TAR via MAPUSA,#REF!,#REF!,#REF!,
PNJ,PNJ34,34,PANAJI-SONSHI via MARCEL,#REF!,#REF!,#REF!,
PRV,PRV167,167,PANAJI-ST. ESTEVE via MARCEL,#REF!,#REF!,#REF!,
MRG,MRG141,141,PANAJI-SUBDALEM via CUNCOLIM,#REF!,#REF!,#REF!,
PNJ,PNJ35,35,PANAJI-SURLA,#REF!,#REF!,#REF!,
PRV,PRV47,47,PANAJI-SURLA,#REF!,#REF!,#REF!,
PNJ,PNJ67,67,PANAJI-TAMDI SURLA via PONDA,#REF!,#REF!,#REF!,
PNJ,PNJ115,115,PANAJI-TEREKHOL via MALEWAD,#REF!,#REF!,#REF!,
PNJ,PNJ95,95,PANAJI-TIN BLD/COL via SAI SERVICE,#REF!,#REF!,#REF!,
MRG,MRG40,40,PANAJI-TIRVAN,#REF!,#REF!,#REF!,
MRG,MRG41,41,PANAJI-TUDAL,#REF!,#REF!,#REF!,
PRV,PRV51,51,PANAJI-USAP via ASSNODA,#REF!,#REF!,#REF!,
PRV,PRV153,153,PANAJI-USAP via DODAMARG,#REF!,#REF!,#REF!,
MRG,MRG73,73,PANAJI-VADE COLONY,#REF!,#REF!,#REF!,
PNJ,PNJ200,200,PANAJI-VAGURME,#REF!,#REF!,#REF!,
PNJ,PNJ64,64,PANAJI-VAGURME via PONDA,#REF!,#REF!,#REF!,
MRG,MRG42,42,PANAJI-VAL,#REF!,#REF!,#REF!,
MRG,MRG191,191,PANAJI-VALPOI,#REF!,#REF!,#REF!,
PNJ,PNJ10,10,PANAJI-VALPOI via MAPUSA,#REF!,#REF!,#REF!,
PNJ,PNJ11,11,PANAJI-VALPOI via MARCEL,#REF!,#REF!,#REF!,
PNJ,PNJ84,84,PANAJI-VANXIM FERY,#REF!,#REF!,#REF!,
PNJ,PNJ105,105,PANAJI-VASCO,#REF!,#REF!,#REF!,
PNJ,PNJ3,3,PANAJI-VASCO,#REF!,#REF!,#REF!,
PRV,PRV2,2,PANAJI-VASCO via CORTALIM,#REF!,#REF!,#REF!,
MRG,MRG11,11,PANAJI-VASCO via CORTALIM,#REF!,#REF!,#REF!,
PRV,PRV23,23,PANAJI-VELGUEM via MAPUSA,#REF!,#REF!,#REF!,
PNJ,PNJ116,116,PANAJI-VENGURLA via MALEWAD,#REF!,#REF!,#REF!,
PNJ,PNJ38,38,PANAJI-VEREM via MARCEL,#REF!,#REF!,#REF!,
PRV,PRV149,149,PANAJI-VIJAYDURGA via KANKAVLI,#REF!,#REF!,#REF!,
PRV,PRV120,120,PANAJI-VIJAYDURGA via PONDA,#REF!,#REF!,#REF!,
PNJ,PNJ33,33,PANAJI-VIRDI via MARCEL,#REF!,#REF!,#REF!,
PRV,PRV168,168,PANAJI-VOLVOI via MARCEL,#REF!,#REF!,#REF!,
MRG,MRG96,96,PANAJI-ZARME,#REF!,#REF!,#REF!,
PRV,PRV22,22,PANAJI-ZARME via MAPUSA,#REF!,#REF!,#REF!,
PRV,PRV33,33,PANAJI-ZARME via MARCEL,#REF!,#REF!,#REF!,
PRV,PRV218,218,PATRADEVI-MORJIM,#REF!,#REF!,#REF!,
PRV,PRV27,27,PNJ K.AKDMI-NANODA via MAPUSA,#REF!,#REF!,#REF!,
PRV,PRV46,46,PNJ K.AKDMI-SURLA,#REF!,#REF!,#REF!,
MRG,MRG373,373,PONDA- NAVELI,#REF!,#REF!,#REF!,
PNJ,PNJ78,78,PONDA-AGAPUR SHMR via TALAULIM,#REF!,#REF!,#REF!,
PNJ,PNJ82,82,PONDA-ALTINHO via PANAJI,#REF!,#REF!,#REF!,
PNJ,PNJ81,81,PONDA-BAMBOLI GMC via PANAJI,#REF!,#REF!,#REF!,
PRV,PRV125,125,PONDA-CIPLA via KELOSI,#REF!,#REF!,#REF!,
PNJ,PNJ75,75,PONDA-CODLI TISK via BETODA,#REF!,#REF!,#REF!,
MRG,MRG17,17,PONDA-CURCHOREM,#REF!,#REF!,#REF!,
MRG,MRG16,16,PONDA-CURCHOREM via SHIRODA,#REF!,#REF!,#REF!,
PNJ,PNJ77,77,PONDA-GAVNE via RAMNATHI,#REF!,#REF!,#REF!,
MRG,MRG86,86,PONDA-KAMORCOND,#REF!,#REF!,#REF!,
PNJ,PNJ80,80,PONDA-KNDRI VIDYA via CURTI,#REF!,#REF!,#REF!,
VSD,VSD19,19,PONDA-KUDCHRE TMP via MARCEL,#REF!,#REF!,#REF!,
PNJ,PNJ19,19,PONDA-MARGAO,#REF!,#REF!,#REF!,
PRV,PRV141,141,PONDA-MARGAO via AGNEL ASHRM,#REF!,#REF!,#REF!,
MRG,MRG347,347,PONDA-MOLLEM,#REF!,#REF!,#REF!,
PRV,PRV72,72,PONDA-NARVA FERRY,#REF!,#REF!,#REF!,
PNJ,PNJ164,164,PONDA-O GOA XVR A,#REF!,#REF!,#REF!,
MRG,MRG372,372,PONDA-SAKHALI,#REF!,#REF!,#REF!,
PNJ,PNJ18,18,PONDA-SANKHALI,#REF!,#REF!,#REF!,
PNJ,PNJ73,73,PONDA-SAVAI,#REF!,#REF!,#REF!,
MRG,MRG139,139,PONDA-SECRETARIAT via PANAJI,#REF!,#REF!,#REF!,
VSD,VSD13,13,PONDA-SHIRODA,#REF!,#REF!,#REF!,
PNJ,PNJ76,76,PONDA-SHIRSHIRE via TOP COLA,#REF!,#REF!,#REF!,
MRG,MRG371,371,PONDA-SURLA,#REF!,#REF!,#REF!,
PNJ,PNJ79,79,PONDA-UNDIR via RAMNATHI,#REF!,#REF!,#REF!,
PNJ,PNJ74,74,PONDA-VAGURME via KHANDEPAR,#REF!,#REF!,#REF!,
PRV,PRV123,123,PONDA-VOLVOI,#REF!,#REF!,#REF!,
MRG,MRG370,370,PONDAI-BICHOLIM,#REF!,#REF!,#REF!,
PRV,PRV132,132,PORVORIM-PANAJI via PANAJI,#REF!,#REF!,#REF!,
PRV,PRV176,176,QUITLA-GALVAR PHC via ALDONA,#REF!,#REF!,#REF!,
PNJ,PNJ69,69,RAJ BHAVAN-MALPAN via PONDA,#REF!,#REF!,#REF!,
MRG,MRG196,196,RAJBAG-KARWAR,#REF!,#REF!,#REF!,
VSD,VSD35,35,SADA-FMD ENG CLG,#REF!,#REF!,#REF!,
VSD,VSD50,50,SADA-HONNAWAR,#REF!,#REF!,#REF!,
VSD,VSD66,66,SADA-KARLI via MALEWAD,#REF!,#REF!,#REF!,
VSD,VSD65,65,SADA-MALVAN via MALEWAD,#REF!,#REF!,#REF!,
VSD,VSD36,36,SADA-RITE COLAGE via CORTALIM,#REF!,#REF!,#REF!,
VSD,VSD67,67,SADA-VENGURLA via MALEWAD,#REF!,#REF!,#REF!,
MRG,MRG377,377,SAKHALI- NAVELI,#REF!,#REF!,#REF!,
PNJ,PNJ41,41,SANKHALI-ADVOI via HONDA,#REF!,#REF!,#REF!,
PNJ,PNJ170,170,SANKHALI-BETORA IND via PALE,#REF!,#REF!,#REF!,
PRV,PRV169,169,SANKHALI-BHIRONDA via HONDA,#REF!,#REF!,#REF!,
PNJ,PNJ43,43,SANKHALI-CIPLA,#REF!,#REF!,#REF!,
PNJ,PNJ40,40,SANKHALI-GHADIWADA,#REF!,#REF!,#REF!,
PRV,PRV144,144,SANKHALI-MORLLEM via HONDA,#REF!,#REF!,#REF!,
PRV,PRV135,135,SANKHALI-PANAJI MKT,#REF!,#REF!,#REF!,
PRV,PRV52,52,SANKHALI-SURLA via KHODGINI,#REF!,#REF!,#REF!,
PNJ,PNJ42,42,SANKHALI-TONCA via MARCEL,#REF!,#REF!,#REF!,
PRV,PRV133,133,SANKHALI-V KERI via MARCEL,#REF!,#REF!,#REF!,
PNJ,PNJ92,92,SANKHALI-VALPOI via ADVOI,#REF!,#REF!,#REF!,
PRV,PRV128,128,SECRETARIAT-KALAY via CURCHOREM,#REF!,#REF!,#REF!,
MRG,MRG367,367,SHRISTHAL-POLLEM,#REF!,#REF!,#REF!,
PNJ,PNJ203,203,ST.PEDRO-ST.PEDRO,#REF!,#REF!,#REF!,
PNJ,PNJ86,86,ST.PEDRO-VANXIM FERY,#REF!,#REF!,#REF!,
PNJ,PNJ30,30,TIN BLD/COL-VALPOI via MARCEL,#REF!,#REF!,#REF!,
PNJ,PNJ31,31,TONCA-VALPOI,#REF!,#REF!,#REF!,
PRV,PRV39,39,VALPOI-ADVOI via SAVARSHE,#REF!,#REF!,#REF!,
PRV,PRV42,42,VALPOI-HIVRE via PALI,#REF!,#REF!,#REF!,
PNJ,PNJ172,172,VALPOI-KARANZOL via VELGUEM,#REF!,#REF!,#REF!,
PRV,PRV43,43,VALPOI-KUMARKHAN via REDIGHAT,#REF!,#REF!,#REF!,
PRV,PRV40,40,VALPOI-SATRE via NAGARGAO,#REF!,#REF!,#REF!,
PRV,PRV174,174,VALPOI-SHIGNE via NAGARGAO,#REF!,#REF!,#REF!,
PNJ,PNJ171,171,VALPOI-THANE via HEDODE,#REF!,#REF!,#REF!,
PRV,PRV41,41,VALPOI-USTE via NAGARGAO,#REF!,#REF!,#REF!,
PRV,PRV38,38,VALPOI-VELGUEM via SAVARSHE,#REF!,#REF!,#REF!,
PRV,PRV44,44,VALPOI-ZARME via MHAUSHI,#REF!,#REF!,#REF!,
PNJ,PNJ204,204,VANXIM FRY-VANXIM FRY,#REF!,#REF!,#REF!,
VSD,VSD60,60,VASCO-BELGAVI CBT,#REF!,#REF!,#REF!,
VSD,VSD58,58,VASCO-BELGAVI CBT,#REF!,#REF!,#REF!,
VSD,VSD33,33,VASCO-CIPLA via BIRLA,#REF!,#REF!,#REF!,
VSD,VSD30,30,VASCO-HARBOUR via SADA,#REF!,#REF!,#REF!,
VSD,VSD14,14,VASCO-HEDODE,#REF!,#REF!,#REF!,
VSD,VSD15,15,VASCO-HEDODE,#REF!,#REF!,#REF!,
VSD,VSD68,68,VASCO-HUBALI,#REF!,#REF!,#REF!,
VSD,VSD56,56,VASCO-HUBALI,#REF!,#REF!,#REF!,
VSD,VSD57,57,VASCO-HUBALI,#REF!,#REF!,#REF!,
VSD,VSD73,73,VASCO-KALABURAGI via ANMOD,#REF!,#REF!,#REF!,
VSD,VSD72,72,VASCO-KALABURAGI via CHORLA,#REF!,#REF!,#REF!,
VSD,VSD87,87,VASCO-KARLI,#REF!,#REF!,#REF!,
VSD,VSD85,85,VASCO-KARWAR,#REF!,#REF!,#REF!,
VSD,VSD51,51,VASCO-KARWAR,#REF!,#REF!,#REF!,
VSD,VSD3,3,VASCO-MARGAO MKT via CORTALIM,#REF!,#REF!,#REF!,
VSD,VSD63,63,VASCO-MIRAJ,#REF!,#REF!,#REF!,
VSD,VSD40,40,VASCO-MOLLEM,#REF!,#REF!,#REF!,
MRG,MRG107,107,VASCO-MRG RLY STN via CORTALIM,#REF!,#REF!,#REF!,
VSD,VSD59,59,VASCO-MUDDEBEHAL via ANMOD,#REF!,#REF!,#REF!,
VSD,VSD70,70,VASCO-MUDDEBEHAL via CHORLA,#REF!,#REF!,#REF!,
VSD,VSD76,76,VASCO-OLD GOA,#REF!,#REF!,#REF!,
VSD,VSD29,29,VASCO-POLLEM BDR,#REF!,#REF!,#REF!,
VSD,VSD4,4,VASCO-PONDA via CORTALIM,#REF!,#REF!,#REF!,
VSD,VSD52,52,VASCO-RAICHUR,#REF!,#REF!,#REF!,
VSD,VSD54,54,VASCO-RAICHUR,#REF!,#REF!,#REF!,
VSD,VSD64,64,VASCO-SAWANTWADI via PATRADEVI,#REF!,#REF!,#REF!,
VSD,VSD62,62,VASCO-SOLAPUR via KOLHAPUR,#REF!,#REF!,#REF!,
VSD,VSD16,16,VASCO-SONAL,#REF!,#REF!,#REF!,
