BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
AAHBA	AATHAMBA		
ATAKNK	AATHAMBE VILLAGE		
ATANN	AATHARE VASTI		
ATCHAPD	AATICHA PADA		
ATAPP	AATKARI VASTI		
AAKKS	AATKE		
ATKR	AATKES KHURD		
AKHOL	AATKHOL		
ATAPS	AATMAYNAR		
ATNRMP	AATNER		
ATLFT	AATOLI FATA		
ATAAS	AATPADI FATA		
AAULIIN	AAULI		
AUEKA	AAUTE WADI		
AVDHDLY	AAVADHOOTVED VIDYALAYA		
AVPD	AAVAL PADA		
AAVAR	AAVAR		
AVLN	AAVLAN		
AWDPS	AAWAD MUNDRUL		
AWLFT	AAWALAFATA		
AWNKNGP	AAWANDHI		
AWNKN	AAWANDI		
AWRPS	AAWARDE		
AWRAPS	AAWARDE FATA		
AWHSC	AAWAS HIGH SCHOOL		
AWTPS	AAWATE VASTI		
AWATN	AAWHATE		
AWIKN	AAWTI		
AYNNVR	AAYNAVARE		
AYSPD	AAYUKT NIWAS PATLIPADA		
AZDNB	AAZAD NAGAR		
ADK	ABA DUKAN		
AAWAGWC	ABA WADGAON		
ABCPD	ABACHA PADA		
ACPDT	ABACHA PADA		
ABMS	ABAD		
AABJJ	ABAD BORDER		
AAIBN	ABADI		
AAIKNNN	ABADI		
AAINMN	ABADI NAGAR		
AAITNCJ	ABADITAN		
ABAD	ABADULLA GANJ		
AAWY	ABAI		
AACKS	ABAICHIWADI		
AAEDN	ABANER		
ABNGN	ABANGAON		
AAAPN	ABAPANI FATA		
AAPAEA	ABAPANII GAON		
AAUSS	ABAPURI		
ARVD	ABAR VADI		
ABB	ABB		
ABWC	ABB		
ACW	ABBACHI WADI		
ABBVNFT	ABBAGAVHAN FATA		
ABGAMP	ABBEGAON		
ADDHP	ABD DARGA		
ADAN	ABDGAON		
ADMNKA	ABDI MANDI		
ABMDI	ABDIMANDI		
ADHDCK	ABDUL HAMID ANSARI CHOWK		
ADLTDG	ABDUL TOLA / EKALPUR		
ABDLFT	ABDULLAPUR FATA		
ABDLTD	ABDULLAPUR TANDA		
ABDFT	ABDULLAPUR TANDA FATA		
ADLLPPA	ABDULLAPURA X RD.		
ADLSK	ABDULLAT		
ABDLPR	ABDULPUR		
ABDLPRWD	ABDULPURWADI		
AEAOMNBD	ABEGAON		
AEAODL	ABEGAON PATI		
AEAO	ABEGAON X RD.		
ABELBE	ABELIN POLYMERS / MELTRON CO.		
AEEGAR	ABERE GAV		
AHIKEMW	ABHAIKHEDA		
AHLAI	ABHALWADI		
AHANPD	ABHAN PADA		
ABAKDS	ABHANG VASTI		
AHNAA	ABHANPADA		
ABHPR	ABHANPUR		
AHVAINN	ABHAVANI PADA		
AHAYNG	ABHAY NAGAR		
AHNGFT	ABHAY NAGAR FATA		
AAF	ABHAYA AGRO FAB		
ABAAKS	ABHAYANCHIWADI		
ABRN	ABHAYARANYA		
ABRNPSN	ABHAYARANYA		
AHYKA	ABHAYARANYA		
AHYKMW	ABHAYKHED		
ABERI	ABHEPURI		
AIAVCL	ABHINAV COLONY		
AHNV	ABHINAV SAW MILL		
ABNYTAW	ABHINAY THEATRE		
AHSBP	ABHISHAIK		
ABHHTL	ABHISHEK HOTEL		
AHSKK	ABHISHEK MILL		
ABSHKTL	ABHISHEKHOTEL		
ABTGR	ABHIYANTA NAGAR		
ABNR	ABHIYANTANAGER		
ABHDA	ABHODA		
ADT	ABHODA TANDA		
ABHNA	ABHONA		
AHRAMJ	ABHORA		
AHRAPJ	ABHORA		
AHPWS	ABHPPURI GAON		
AHUWS	ABHPURI FATA		
AHDYA	ABHUDAYA NAGAR		
AHRHMJ	ABHUR SHELKE		
AHALKR	ABHYAL		
AHAKS	ABHYARANY		
ABDKR	ABHYUDAY BANK KANJUR		
AYBN	ABHYUDAYA BANK		
AIAKSA	ABINAGAR		
AIAHP	ABINAV VIDYALAYA CHOWK		
ABTGN	ABITGAON		
AIGCPR	ABITGAON POST		
ATHR	ABITGHAR		
AIGHRWT	ABITGHAR FATA		
AJWT	ABJE		
ABKRITOLA	ABKARITOLA		
ABL	ABLOLI		
AOLIGHR	ABLOLI CHANDRAVALE FATA		
ALLIGHR	ABLOLI CHOUGULE STOP		
AGH	ABLOLI GOVT. HOSPITAL		
ALKHS	ABLOLI KALE HOUSE		
AKH	ABLOLI KAREKAR HOTEL		
ALLGAR	ABLOLI MASU FATA		
ADNNVT	ABMBAVADE NAVIN VASAHAT		
AOISC	ABOLI		
AOETCJ	ABONE TADA		
ABURD	ABU RD		
AUHIAMR	ABUCHIWADI		
AUWFTGP	ABUJWADI FATA		
AUWAIMB	ABUJWADI X RD.		
AZLCA	ABZALPUR		
ACDMK	ACADAMI		
ACLJTS	ACALAWADI		
ACFABC	ACC FACTORY		
AFC	ACC FACTORY		
AFCHN	ACC FACTORY		
ACCHD	ACCHAD		
ACHKHL	ACHAKANHALLI		
ACHNI	ACHAKDANI		
AHLAO	ACHALER		
ACALI	ACHALOLI		
AHLOIMR	ACHALOLI  TETGHAR		
AHLOIMDRD	ACHALOLI HIGH SCHOOL		
ACLPR	ACHALPUR		
ACHU	ACHALPUR FATA		
AHLAA	ACHALPUR FATA		
AHLMA	ACHALPUR FATA		
ALURNK	ACHALPUR NAKA		
