BUS_STOP_CD	BUS_STOP_NM	Latitude	Longitude
AVRWA	AVARWADI		
AAWDNAR	AVARWADI FATA		
ASRI	AVASARI		
ARBD	AVASARI BUDRUK		
ASF	AVASARI FATA		
AWGH	AVASARI GHAT		
AGT	AVASARI GHAT START		
AVSKD	AVASARIKURD		
AAGAAB	AVASGAON		
AIF	AVASHI FATA		
AVVL	AVASHI VILLAGE		
AAHYBSN	AVASHYABARI		
AVTI	AVATI		
AATIFT	AVATI FATA		
AHN	AVCHIT HANUMAN		
ACTKK	AVCHITWADI		
AVDHN	AVDHAN		
AVDFT	AVDHAN FATA		
AGAUSN	AVGHA/JUNVANE		
AHMBL	AVHA		
AHDVS	AVHAD VASTI		
AHGFTBJ	AVHAGHADRAO SAWANGI FATA		
AHLWDSB	AVHALWADI		
AHNA	AVHANE FATA		
AVHNI	AVHANI		
AVHRWD	AVHARWADI		
AHRADI	AVHARWADI FATA		
AHTKP	AVHAT		
AHTSN	AVHATI		
AIMD	AVIR		
AIHAI	AVISHKAR HIGH SCHOOL		
ALPD	AVKAL PADA		
AKLMS	AVKALI		
ALDIK	AVKALWADI		
ASBAIAN	AVSABARI		
ASRIGJRPE	AVSARI GHAT		
ASRIKH	AVSARI KHURD		
AVTOL	AVTOL		
AARKBL	AWAAR		
AAIRK	AWACHITWADI FATA		
AANN	AWAD		
AASIKO	AWAD SHIRPUR X RD.		
AWDE	AWADE		
AWGD	AWAGAD		
AAHABJ	AWAGHADRAO SAWANGI		
AAGBOJL	AWAGHARAO SAWANGI		
AAASN	AWAHATI FATA		
AABH	AWAI		
AWALAI	AWALAI		
AWALA	AWALAZARI		
AAEKR	AWALE MALA		
AALGKDSD	AWALEGAON CHINCH		
AAEKAS	AWALEGAON DISPENSARY		
AGK	AWALEGAON GAWADE KATTA		
AWAG	AWALEGAON PATKAR TEMB		
ALEGAKDS	AWALEGAON POST		
ALTL	AWALEGAON TALAV		
AWLGHT	AWALEGHAT		
AAGASP	AWALGAON		
AWLGAON	AWALGAON		
AWLGN	AWALGAON		
AAGOKC	AWALGAON / SNGD FATA		
AARK	AWALI		
ALIDOS	AWALI		
AWLI	AWALI		
AWLIKK	AWALI		
AWLSK	AWALI		
AALIBD	AWALI BUDRUK		
AWLSKA	AWALI FATA		
AWLRK	AWALI KHURD		
ALLIFT	AWALKHALI FATA		
AAKOULT	AWALKONDA PATI		
AWLRI	AWALMARI		
AWLDA	AWALPADA		
AWW	AWALYACHI WADI		
AWND	AWANDHE		
AAEJJ	AWANE		
AAEFJJ	AWANE FATA		
AAKHDPN	AWANKHED		
AWD	AWANKHED		
AATKN	AWANTHI		
AACJ	AWAR		
AAHJJ	AWAR FHATA		
AAAKNNN	AWARAL		
AADPS	AWARDE		
AWRE	AWARE		
AWAR	AWARE FATA		
AREGGHR	AWARE GAV		
ARESGHR	AWARE STOP		
AAGANDB	AWARGAON		
AWRCIR	AWARI		
AWRMR	AWARMARA		
AAPIPPO	AWARPIMPRI		
AWRPR	AWARPUR		
AWRR	AWARPUR		
AAAR	AWAS		
AAKJBD	AWAS		
AABIAR	AWAS BRIDGE		
AAFTAR	AWAS FATA		
AAALJR	AWASAREWADI		
AAAWAP	AWASARI		
AARIKH	AWASARI KHURD		
AASIMNRT	AWASHI		
ASHIKER	AWASHI		
AWSI	AWASHI		
AAHKDR	AWASHI AGRI FARM		
AWAFM	AWASHI AGRI. FARM		
AWAFMK	AWASHI AGRI. FARM		
AWASC	AWASHI AGRI. SCHOOL		
AAHCPR	AWASHI DAVAKHANA		
AWSWD	AWASHI DEVULWADI		
ASDN	AWASHI DISPENSARY		
AAHMDR	AWASHI FATA		
ASFT	AWASHI FATA		
AWSKBHR	AWASHI KUBHARVADI		
AAAAPR	AWATA FATA		
ACFN	AWATE COLLEGE FATA		
AWTDKN	AWATE DUKAN		
AAEKK	AWATE MALA		
AAEWAP	AWATE MALA		
AAEIP	AWATE WADI		
AATEWD	AWATE WADI		
AATEWDKSN	AWATE WADI		
ATEWCIR	AWATE WADI		
AAEWDIP	AWATEWADI FATA		
AAIPO	AWATI		
AWAF	AWATI FATA		
AAAGAR	AWAVARE		
AWBDHBU	AWB DHB FATA		
ABLR	AWBD-SLPR RD.		
AWCDLR	AWCHER DEOULGAON		
AWDFT	AWCHER DWOULGAON FATA		
AWE	AWE		
AESPS	AWE SHIRSAWADI		
AEEVNS	AWERE BRIDGE		
AERVUSH	AWERE SCHOOL		
AEEWVNS	AWEREWADI		
ADWG	AWGHADRAOSWANGI		
AWHNA	AWHANA		
AWHTNSK	AWHATA		
AWLLGHTFT	AWLEGHAT FATA		
AWALEGHAT	AWLGT		
AWOS	AWOSBD X RD.		
AYANI	AYANI		
AANIBG	AYANI BRIDGE		
ANBD	AYANI BUDDHAWADI		
AANIFT	AYANI FATA		
AYNLI	AYANVALI		
ANLIBG	AYANVALI BRIDGE		
AYRWDGD	AYAR WADI		
AAEJRTE	AYARE		
AYSH	AYARE SHOP		
AAEAPR	AYARE WADI		
AYDNAW	AYHODHA NAGARI		
ALNSHK	AYLANE		
AYFMS	AYODHYA FARM HOUSE		
AYDNGRAW	AYODHYA NAGAR		
AYDTSS	AYODHYA NAGAR		
AYODYO	AYODHYA NAGAR FATA		
AYRWD	AYREWADI		
ATAY	AYTA		
AANFMLS	AYTAN FATA		
ATNDGS	AYTANWADI		
ATNMVS	AYTANWADI		
AYRDCGO	AYURDIC COLLAGE		
ARHS	AYURVDIC HOSPITAL		
AUVEAN	AYURVEDIC COLLEGE		
AUVEIYY	AYURVEDIC COLLEGE		
AUVENN	AYURVEDIC COLLEGE		
AVDCGAUW	AYURVEDIC COLLEGE		
AUDC	AYURVEDIK COLLAGE		
AYRKAS	AYURVEDIK MEDICAL COLEGE		
AYPMNDR	AYYAPPA MANDIR		
AACLAA	AZAD COLLEGE		
AAWS	AZAD NAGAR		
AZADNG	AZAD NAGAR		
AZRNGT	AZAD NAGAR		
AZKGN	AZADCHOWK KOREGAON		
AZDPR	AZADPUR		
AASNAH	AZARSONDA FATA		
AODMN	AZONDA		
AODSN	AZONDA		
AONDAA	AZONDE BABA		
BCD	B & C DIVN.		
BCDT	B & C DIVN. TURBHE		
BDKMG	B D KAMAGAR		
BDOU	B DOUBLE COLA		
BTLDGC	B TALODHI		
BCRAPP	B&C ROAD START		
BBC	B. B. C.		
BNWW	B. D. ENGG. COLLEGE		
B.NBT	B. N. N. COLLEGE		
BOKB	B. S. COLLEGE		
BCHTT	B.C.H. JUNCTION THANA		
BDOO	B.D.O. OFFICE		
BDOTB	B.D.O. OFFICE		
BECAJ	B.ED. COLLEGE		
BEOGC	B.ED. COLLEGE		
BEOWW	B.ED. COLLEGE		
BEDCLE	B.ED. COLLEGE HOSTEL		
BFLM	B.F. LEFT MOHADI		
BFRNPU	B.F. RAKSHA NAGAR P/U/SHED		
BKLYNL	B.KALYAN		
BPTHSPTL	B.P.T.HOSPITAL		
BPTKMGVSHT	B.P.T.KAMGAR VASAHAT		
BSFCL	B.S.F. CAMP		
BSSCK	B.S.MORE CHOWK		
BSCKB	B.SC. COLLEGE		
BDDD	BA RD.		
BASS	BAAD MALA		
BGVGR	BAAGVE GURVWADI		
BBDBB	BABA DARGA		
BBAKR	BABA NAGAR		
BBPLL	BABA PATI		
BBPAA	BABA PETROL PUMP		
BBHINSK	BABA SHAIK DARGA		
BBCKS	BABACHI WADI		
BBIPJ	BABAI		
BBIVLG	BABAI VILLAGE		
BBLRUO	BABAL UR		
BBLARNA	BABALA RIVER BRIDGE		
BBLDAL	BABALDARA		
BBLDDN	BABALDE FATA / TELKHADI FASTA		
BBLRAR	BABALEWADI		
BBLGAL	BABALGAON		
BBLGLLT	BABALGAON		
BBLGNTOM	BABALGAON		
BBLGOBB	BABALGAON		
BBLGSS	BABALGAON		
BBLGLL	BABALGON		
BBLIDA	BABALI		
BBLKH	BABALI FATA		
BAAUR	BABALSUR		
BBLUNL	BABALSUR		
BBNGR	BABANAGAR		
BBKTD	BABANAIK TANDA		
BBNBSB	BABANBIR		
BSMDLY	BABANRAO SHINDE MHAHVIDHAILYA		
BBPDN	BABAPUR		
BBPR	BABAPUR		
BBPRRC	BABAPUR		
BBPUWY	BABAPUR		
BBRGGAR	BABAR GAON		
BABM	BABAR MALA		
BBRML	BABAR MALA		
BBARPD	BABAR PADA		
BBARVS	BABAR VASTI		
BBRWD	BABAR WADI		
BBRDD	BABARE		
BBRE	BABARE		
BBREPJL	BABARE		
BBRAAA	BABARGAON FATA		
BBRGGUJ	BABARGHAT		
BBRMS	BABARI BRIDGE		
BBRKS	BABARMACHI		
BBRMFT	BABARMACHI FATA		
BBRDAS	BABARWADI		
BBRPS	BABARWADI		
BAMRGY	BABASAHEB AMBEDKAR MAGASVARGIYA MULANCHE		
BBSPS	BABASAHEB DESHMUKH MATH		
BSTM	BABASAHEB TEMPLE		
BBSRPT	BABASUR PATI		
BABW	BABAWADI		
BBBWDN	BABAWADI		
BBWDNAR	BABAWADI RIVER		
BBUNA	BABBULKHEDA		
BBAAAN	BABDA FATA		
BBEMN	BABDEV		
BBIDA	BABDI		
BBUGWW	BABGULGAON		
BBADJ	BABHAL FATA		
BBAACJ	BABHALAJ		
BBHLJ	BABHALAJ		
BBHLE	BABHALE		
BBALSD	BABHALE FATA		
BBLEFT	BABHALE FATA		
BAHSIA	BABHALESHWAR		
BBANN	BABHALESHWAR		
BBLR	BABHALESHWAR		
BABH	BABHALGAON		
BBALAB	BABHALGAON		
BBALAMB	BABHALGAON		
BBALAPP	BABHALGAON		
BBALAPS	BABHALGAON		
BBALATO	BABHALGAON		
BBALLL	BABHALGAON		
BBALPP	BABHALGAON		
BBALSS	BABHALGAON		
BBALASA	BABHALGAON X RD.		
BBALAA	BABHALI		
BBALDA	BABHALI		
BBALDN	BABHALI		
BBAFTDN	BABHALI FATA		
BBAFTPY	BABHALI FATA		
BLTK	BABHALI TOK		
BBHL	BABHALI X RD.		
BBAKUB	BABHALKHUNTA		
BBALABB	BABHALWADI X RD.		
BBHLWD	BABHALWANDI		
BAHMRS	BABHAN HOSPITAL		
BBIOA	BABHIROBA WADI		
BBLACJ	BABHLAS		
BBLEHRA	BABHLESHWAR		
BBLEHSA	BABHLESHWAR		
BBLSW	BABHLESHWAR FATA		
BBLIBN	BABHLI		
BBLIPP	BABHLI		
BBHLA	BABHOLA		
BBOIEJ	BABHORI		
BBGSS	BABHUGAON FATA		
BBUJP	BABHUL FATA		
BBULESADE	BABHULDE		
BABG	BABHULGAON		
BABGDJL	BABHULGAON		
BBHLGA	BABHULGAON		
BBHPTPR	BABHULGAON		
BBLGN	BABHULGAON		
BBUAA	BABHULGAON		
BBUIP	BABHULGAON		
BBULAA	BABHULGAON		
BBULABJ	BABHULGAON		
BBULALL	BABHULGAON		
BBULAMB	BABHULGAON		
BBULAPA	BABHULGAON		
BBULASW	BABHULGAON		
BBULATA	BABHULGAON		
BBULAWW	BABHULGAON		
BBULBH	BABHULGAON		
BBULNN	BABHULGAON		
BBULPA	BABHULGAON		
BBULPP	BABHULGAON		
BBULSAR	BABHULGAON		
BBULSH	BABHULGAON		
BBUMS	BABHULGAON		
BBUTO	BABHULGAON		
BLGN	BABHULGAON		
BLGNK	BABHULGAON		
PAPA	BABHULGAON		
BAUN	BABHULGAON FATA		
BBUAMS	BABHULGAON FATA		
BBUFTBY	BABHULGAON FATA		
BBUFTKY	BABHULGAON FATA		
BBUFTPP	BABHULGAON FATA		
BBULABNJA	BABHULGAON FATA		
BBULADIWA	BABHULGAON FATA		
BBULAWAWA	BABHULGAON FATA		
BBULAKY	BABHULGAON FATA/ TAHASIL OFFICE		
BBUGO	BABHULGAON PRIMARY SCHOOL		
BBULA	BABHULGAON RD.		
BBULAYLYL	BABHULGAON RD.		
BBLVT	BABHULGAON VASTI		
BBULAGB	BABHULGAON X RD.		
BBULBA	BABHULKHED		
BABK	BABHULKHEDA		
BBUSN	BABHULNA		
BBHUAA	BABHULNER		
BBUVED	BABHULVEDHA FATA		
BBUWD	BABHULWADA		
BBWD	BABHULWADA		
BBUWDPAR	BABHULWADA FATA		
BDGNP	BABHULWADA GAON		
BBULAMN	BABHULWADI		
BBUNN	BABHULWADI FATA		
BBUPA	BABHULWADI FATA		
BBUWN	BABHULWANDI		
BBUWNYNK	BABHULWANDI		
BBUD	BABHURDI		
BBUDAAR	BABHURDI / WALKI FATA		
BHUDAAR	BABHURDI FATA		
BBURAPP	BABHURGAON		
BBRPRAS	BABIRPUR		
BBHGR	BABISHETH GANDHINAGAR		
BBARNY	BABLA RIVER BRIDGE		
BBAAS	BABLAD		
BBIKB	BABLI		
BBLI	BABLI		
BBLIFT	BABLI FATA		
BBRA	BABRA		
BBRAFT	BABRA FATA		
BABN	BABRULGAON		
BBTAKA	BABTA / NACHANWAL X RD.		
BCWDB	BABUCHI WADI		
BBHKS	BABUCHIWADI		
BBDTND	BABUDA TANDA		
BBLDI	BABUL DAITYA		
BBULGN	BABUL GAON		
BBLKBB	BABUL KUNTA		
BBLBB	BABUL KUTE		
BBLTE	BABUL TREE		
BBULVS	BABUL VASTI		
BBLAA	BABUL WADA		
BBLDSD	BABULDE FATA		
BABON	BABULGAON		
BBLAMN	BABULGAON		
BBLANNNN	BABULGAON		
BBLGBA	BABULGAON		
BBLGDW	BABULGAON		
BBLGWW	BABULGAON		
BBLADW	BABULGAON / WAIGAON FATA		
BBGNFT	BABULGAON FATA		
BUONFT	BABULGAON FATA		
BBLAGAR	BABULGAON X RD.		
BBUL	BABULGAON X RD.		
BBULDNN	BABULGAON X RD.		
BBLFTMB	BABULKHED FATA		
BAUAR	BABULSAR		
BBLTPP	BABULTAR		
BBLTFT	BABULTAR FATA		
BBLTN	BABULTAR TANDA		
BBLTRPP	BABULTARA		
BDHANAM	BABULVEDHA		
BAUDA	BABULWADA		
BBLWDNA	BABULWADA		
BBLWDBB	BABULWADI		
BBLWDDD	BABULWADI		
BBLWDBDBD	BABULWADI MAJALGAON X RD.		
BLHAFT	BABULWEDHA FATA		
BNDE	BABUNRDE		
BBPTH	BABUPETH		
BPTPC	BABUPETH POLICE CHAUKI		
BBPTCC	BABUPETH POLICE STN.		
BBRAASD	BABURADA		
BBPTFM	BABURAO PATIL FARM		
BBRBP	BABURDI		
BBRDI	BABURDI		
BBRSA	BABURDI		
BBRI	BABURDI  WALKI FATA		
BBMGDR	BABY MANSI MANE AROGYA KANDRA		
BBANA	BABY WADH		
BCHNI	BACHANI		
BCNIFT	BACHANI FATA		
BCGNJ	BACHEGAON		
BCHGNN	BACHEGAON		
BACE	BACHEGAON X RD.		
BCEAAP	BACHEPALLI		
BCHRA	BACHERA		
BCHRI	BACHERI		
BCEWPB	BACHEWADI		
BCHI	BACHI		
BCHICKL	BACHI		
BCHIFT	BACHI FATA		
BCHKRT	BACHI KRT BORDER		
BCIKK	BACHNI		
BCOPS	BACHOLI FATA		
BCHTI	BACHOTI		
BCMN	BACK X ING ROAD		
BCMOSA	BACKMOOK / BABHULGAON		
BDJM	BADA JAMGAON		
BDPD	BADA PADA		
BDAAPA	BADA PAHAD		
BAAJTS	BADACHI		
BDCHWOO	BADACHIWADI		
BDDWD	BADADEWADI		
BADVASNR	BADADVADI DHANGARVADI		
BDGABT	BADAGAR		
BDGIKR	BADAGI		
BDGPN	BADAGI		
BDHMN	BADAHANUMAN		
BDKVT	BADAK VASTI		
BDKPN	BADAKBARI		
BDKRPB	BADAKERI WADGAON		
BKW	BADAKERI WADGAON		
BDGND	BADALAPUR GAON		
BDNKAT	BADALAPUR NAKA		
BDLFTMG	BADALE FATA		
BDLHK	BADALE FATA		
BDLMS	BADALEWADI		
BDLKAR	BADALGAON		
BDLW	BADALWADI		
BDMRNR	BADAMBEWADI		
BDMIVT	BADAMI		
BDMVR	BADAMI VIHIR		
BMDIFT	BADAMWADI FATA		
BDNPRFT	BADANAPUR FATA		
BDNKN	BADANE		
BDNPTA	BADANPUR		
BDNUTA	BADANPUR / KHADKA		
BDKD	BADANPUR KHADAKA		
BDNPTAR	BADANPUR/KHADAKA		
BDPUBA	BADAPUR		
BDPUBJ	BADAPUR		
BDRHBJ	BADARKHE		
BDRHPJ	BADARKHE FATA		
BDRHA	BADARKHE GAO		
BDWKS	BADAWE M.S.		
BAHKAR	BADCHI		
BDURNR	BADDUWADI		
BDV	BADE SVS		
BAEON	BADEGAON		
BAEONKGD	BADEGAON		
BDGAAA	BADEGAON		
BDGADG	BADEGAON		
BDGAKG	BADEGAON		
BDGATGN	BADEGAON		
BDGOAN	BADEGAON		
BDGFTTG	BADEGAON FATA		
BEONFTSN	BADEGAON FATA		
BDGAMG	BADEGAON RLY. STN.		
BDGOTG	BADEGOAN FATA		
BKSK	BADEKHA SAKHARWADI		
BDKHN	BADEKHAN		
BEANFT	BADEKHAN FATA		
BDKKS	BADEKHAN MALA		
BDKND	BADEKOND		
BADDI	BADEWADI		
BADDISKL	BADEWADI		
BADDISSN	BADEWADI		
BDAPK	BADEWADI		
BDASK	BADEWADI FATA		
BAEC	BADEWADI POLICE STN		
BDADN	BADGACHI PADA		
BAON	BADGAON		
BDGOBG	BADGAON		
BDANBJAL	BADGAON PETH		
BDI	BADGI		
BDASGR	BADHADWADI		
BHADWSNR	BADHADWADI SCHOOL		
BDHI	BADHAI		
BDAMP	BADHALWADI		
BDAPBP	BADHARPPE		
BDUAA	BADHULAGAON DUMALA		
BDOAP	BADI KODPGAL		
BDPDJT	BADI PADA		
BADX	BADI X RD.		
BADXAAR	BADI X RD.		
BDGDAP	BADI-GUDDI		
BDGWD	BADIGAWAD		
BDPKDT	BADJ POKHARAN		
BDAMN	BADKAL WADI		
BADL	BADLAPUR		
BDAPRBA	BADLAPUR FATA		
BPFD	BADLAPUR FATA		
BLURGN	BADLAPUR GAON		
BDAUAT	BADLAPUR OCTROI NAKA		
BAPLAT	BADLAPUR RLY. STN.		
BDLYCHPD	BADLYACHAPADA		
BBDANN	BADNAPUR		
BDACA	BADNAPUR		
BDAPAA	BADNAPUR		
BDNPR	BADNAPUR		
BPAFM	BADNAPUR AGRI. FARM		
BDAPJJL	BADNAPUR AGRICULTURE FARM		
BDNJLJL	BADNAPUR AGRO FARM		
BNPCLG	BADNAPUR COLLEGE		
BDNFB	BADNAPUR FATA		
BDAPRBJ	BADNAPUR TEHSIL OFFICE		
BDNR	BADNERA		
BDEABA	BADNERA CHECK NAKA		
BDERAA	BADNERA IND		
BDEAA	BADNERA JUNI WASTI		
BDERAIAI	BADNERA OCTROI NAKA		
BDEANY	BADNERA RIVER BRIDGE		
BADY	BADNERA RLY. STN.		
BDDAKNG	BADODA		
BDDAKN	BADODA IRRIGATION COLONY		
BDLAS	BADOLA		
BDL	BADOLI		
BKHE	BADRAKHE		
BDIUDR	BADRI BUDRUK		
BDTV	BADSHAH TALAV		
BDTLGND	BADTOLA		
BADUR	BADUR		
BDRNL	BADUR		
BDRXBN	BADUR X RD.		
BDVHMP	BADVAH		
BDANN	BADVAR VASTI		
BDAHMP	BADWAH		
BDWAMP	BADWAN		
BDANGP	BADWANI		
BDAFTGP	BADWANI FATA		
BDWNGA	BADWE ENGINEERING		
BDACKR	BADYACHI WADI		
BDAGK	BADYACHIWADI		
BFLEAR	BAFALE		
BFLUN	BAFALUN		
BFVH	BAFAN VIHIR		
BFNGD	BAFANA GODOWN		
BFHSL	BAFANA HIGH SCHOOL		
BFNS	BAFANA SHOWROOM		
BFNANN	BAFANA/DEGLOOR		
BFANN	BAFNA		
BFITX	BAFNA ITWARA X ROAD		
BFN	BAFNA T POING		
BGFAABA	BAG FATA		
BGPTLR	BAG PATOLE		
BGPGB	BAG PIMPALGAON		
BGVH	BAG VIHAR		
BGCHWD	BAGACHIWADI		
BGDDR	BAGAD DARA		
BGDWS	BAGAD FATA		
BGDAWS	BAGAD ROAD		
BGADWD	BAGAD WADI		
BGDPFT	BAGADAD POINT FATA		
BGDBH	BAGADBANDH		
BGDTL	BAGADBANDH TOLA		
BGDETT	BAGADE ENGINEERING		
BH	BAGADE HOSPITAL		
BGDMDJ	BAGADESHWAR MAHADEV MANDIR		
BGDMDM	BAGADESHWAR MAHADEV MANDIR		
BGDAWSA	BAGADH		
BGDRD	BAGADI XRD		
BDURFT	BAGADPUR FATA		
BGALCK	BAGAL CHOWK		
BGLIP	BAGAL FATA		
BGALVS	BAGAL VASTI		
BGLKS	BAGAL VASTI		
BGLMS	BAGAL VASTI		
BGLVS	BAGAL VASTI		
BGLVGS	BAGALACHI RAI		
BGLAVNS	BAGALACHI RAI CHIDANAND MATH		
BGRFT	BAGALACHI RAI FATA		
BAGAL	BAGALCOT		
BGLKKR	BAGALKOT		
BGLPNT	BAGALPENTA		
BGLKW	BAGALPUR FATA		
BGLPRAA	BAGALPUR FATA		
BGLSN	BAGALVADI		
BAGDI	BAGALWADI		
BAGDIRKL	BAGALWADI		
BALDI	BAGALWADI		
BGLPS	BAGALWADI		
BGLWDSLP	BAGALWADI		
BGLSS	BAGALWADI MATH		
BAGANI	BAGANI		
BAGANITSN	BAGANI		
BNRF	BAGAON NANDAR RAHURI FATA		
BGRCA	BAGAR		
BGRABP	BAGARPARDI		
BGVKKS	BAGAVEWADI		
BGVMVS	BAGAVEWADI		
BGWAGG	BAGAWAN		
BGWEHS	BAGAWE HOUSE		
BGYT	BAGAYAT		
BGYTSAR	BAGAYAT		
BAYDI	BAGAYATWADI		
BGHRAN	BAGDHRI		
BAGDUDN	BAGDU		
BGUDN	BAGDU FATA		
BAEAKS	BAGEHALLI CROSS		
BERIFM	BAGESHRI FARM		
BAWDKAR	BAGEWADI		
BGWD	BAGEWADI		
BGWDJSN	BAGEWADI		
BAGF	BAGEWADI FATA		
BGGI	BAGGI		
BGIDA	BAGGI		
BGGIFT	BAGGI FATA		
BNC	BAGH NADI CANAL		
BGATTG	BAGHATI		
BGYTML	BAGHAYATMALA		
BGHTWD	BAGHAYTWADI		
BGEDTB	BAGHEDA		
BGHTMBA	BAGHEDA COLONY		
BGEFTTB	BAGHEDA FATA		
BGLGG	BAGHOLI		
BGOLTG	BAGHOLI GRAM PANCHAYAT OFFICE		
BGGK	BAGI MALA		
BGMCK	BAGI MALA		
BAGICHA	BAGICHA		
BGGCK	BAGILGE		
BGMPLGB	BAGIMPALGAON		
BGRVHR	BAGIRAO VIHIR		
BGSP	BAGKAR SHOP		
BGICA	BAGLINGA		
BGMLA	BAGMALA		
BGMLDGSD	BAGMALA		
BGMD	BAGMANDALA		
BGNDI	BAGNADI		
BGNI	BAGNI		
BGIMAAA	BAGPIMPALGAON		
BGIPLG	BAGPIMPALGAON		
BGRK	BAGRE WADI		
BGADGS	BAGTALAWADE		
BGULVS	BAGUL VASTI		
BGLKLB	BAGULKHED		
BGMAGUJ	BAGUMA		
BGMGUJ	BAGUMOG		
BGADDY	BAGWADI		
BGADPR	BAGWADI		
BGAKDR	BAGWADI		
BGARAR	BAGWADI		
BGARNR	BAGWADI		
BGW	BAGWADI		
BGWDT	BAGWADI		
BWADIDOS	BAGWADI		
BWADISNR	BAGWADI		
BGWDBJ	BAGWADI BRIDGE		
BGWDFT	BAGWADI FATA		
BGASGR	BAGWADI SCHOOL		
BGWDWST	BAGWADI WASTI		
BLWR	BAGWALEWADI		
BGAIN	BAGWAN GHOTI		
BAWMRS	BAGWAN MALA		
BAGO	BAGWANI KOND		
BGPDG	BAGYACHA PADA		
BGARRL	BAGZARI		
BTE	BAHACO TAPARIA ESTATE		
BHDDT	BAHAD		
BHDODT	BAHAD HOSPITAL		
BHDCDT	BAHAD SCHOOL		
BHDAAJ	BAHADAR WADI		
BAHP	BAHADARPUR		
BDRPR	BAHADARPUR		
BHDAPDD	BAHADARPUR		
BHDAPJ	BAHADARPUR		
BDAP	BAHADARPUR FATA		
BDURFTP	BAHADARPUR FATA		
BHDAPBB	BAHADARPUR X RD.		
BHDRKN	BAHADARPURA		
BDAA	BAHADARWADI		
BHDRPRAM	BAHADDARPUR		
BHDHRPJ	BAHADHARPUR FATA		
BHADLT	BAHADOLI		
BHDRPUR	BAHADRAPUR		
BHDRPR	BAHADRPUR		
BHBG	BAHADUR BAUG		
BHDSN	BAHADUR FATA		
BAD	BAHADUR SHAIKH NAKA		
BHDFTBA	BAHADURA FATA		
BHDNN	BAHADURA FATA		
BHDCA	BAHADURFATA		
BAARI	BAHADURI		
BHDUPR	BAHADURPUR		
BDSK	BAHADURSHEKH		
BAUI	BAHADURWADI		
BHDRWD	BAHADURWADI		
BAAWLS	BAHADURWADI FATA		
BHHRVAR	BAHAHUR		
BAHAL	BAHAL		
BHLKCJ	BAHAL KASBE		
BHLRCJ	BAHAL RATACHE		
BHLRPJ	BAHAL RATACHE		
BHLIKH	BAHALI		
BHLIPY	BAHALI		
BHLACJ	BAHALKASBE		
BHRPR	BAHARABPUR		
BHRDB	BAHARADABADH FATA		
BHRSGR	BAHARANKARWADI		
BHRSN	BAHARE		
BHREMDT	BAHARE MARATHI SCHOOL		
BAHR	BAHARGAON		
BHVAWBB	BAHAVANWADI X RD.		
BHYAESD	BAHAYANE		
BHURBA	BAHBUR FAT		
BHAPKA	BAHDARPUR		
BAHE	BAHE		
BAEWLS	BAHE BRIDGE		
BHEFT	BAHE FATA		
BAHON	BAHEGAON		
BHGANPJ	BAHEGAON		
BHGOUN	BAHEGAON		
BHGVBB	BAHEGAVAN		
BHGAHWB	BAHEGAVHAN		
BEARFT	BAHERWAR FATA		
BWARFT	BAHESHWAR FATA		
BHLPFT	BAHILODPURFATA		
BHINGN	BAHIN GAON		
BHRAGJ	BAHIR GAD		
BAAM	BAHIRAM		
BHRASD	BAHIRAM PADA / JAMKHEL		
BHIRAA	BAHIRANE		
BHRAESN	BAHIRANE FATA		
BHRKDR	BAHIRAVALI BAUDHAWADI		
BIRAVKER	BAHIRAVALI BUNDER		
BHRMDR	BAHIRAVALI KOND		
BRLD	BAHIRAVALI LADWADI		
BHIAKDRT	BAHIRAVALI MUHALLA		
BMM	BAHIRAVALI MUSLIM MOHALLA		
BAVO	BAHIRAVALI NO. 2		
BIAV	BAHIRAVALI NO. 3		
BHPNK	BAHIRAVALI PANHALJE		
BRWR	BAHIRESHWAR		
BHEPK	BAHIREWADI		
BHRSK	BAHIREWADI		
BHRW	BAHIREWADI		
BIREWMLK	BAHIREWADI KHIND		
BHRGDGJ	BAHIRGAD		
BHRGDGIJA	BAHIRGAD X RD.		
BHRGPJ	BAHIRGADH		
BAHG	BAHIRGAON		
BHRGKA	BAHIRGAON		
BHRGPT	BAHIRGAON		
BHRPP	BAHIRGICHIWADI		
BHRKEJJ	BAHIRKHEDA		
BHROBH	BAHIROBA CHOUNDI		
BHRAKA	BAHIROBA WADI		
BHROEAR	BAHIROLE		
BHBDK	BAHIRVALI BUDDHAWADI		
BHRBP	BAHIRVANATH WADI		
BAHW	BAHIRWADI		
BHRAPP	BAHIRWADI		
BHRWAH	BAHIRWADI		
BHRWD	BAHIRWADI		
BVMDFT	BAHIVALI MALDOLI FATA		
BHDOIPT	BAHJDOLI FATA		
BHRIMP	BAHRAI		
BHANUAS	BAHRANPUR		
BHBLI	BAHUBALI		
BBHNMD	BAHUBALI HANUMAN MANDIR		
BHHNMD	BAHUBALI HANUMAN MANDIR		
BHBKN	BAHUBALI HANUMAN TEMPLE.		
BAHUL	BAHUL		
BHLAKO	BAHULA		
BHL	BAHULE		
BHLJS	BAHULE		
BHLEFT	BAHULE FATA		
BAHU	BAHULGAON		
BAHULI	BAHULI		
BAHULIWT	BAHULI		
BHLIHAW	BAHULI HANUMAN TEMPLE		
BAHL	BAHULKHEDA		
BHUNB	BAHUNAGAR		
BHRAKN	BAHUR FATA		
BHTE	BAHUTE		
BIHKKS	BAICHE BHATALE		
BIARPTT	BAIDAR PADA		
