ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
18643	DHAMANGAON to CHANDUR RAILWAY via JALAKA	DMGN	CHNRLY
18644	DEOGAON to DHAMANGAON	DEOON	DMGN
18645	BORIVALI NANCY COLONY to RATNAGIRI via KHED	BVINC	RTN
18646	YAVATMAL to DHAMANGAON	YTL	DMGN
18647	MAUDA to RAMTEK	MDA	RTK
18648	BHANDARA to RAMTEK	BHN	RTK
18649	SHIRSHINGE GOTHAVEWADI to SAWANTWADI	SHGW	SWD
18650	CHARGAON to NAGPUR	CAGPN	NGPCBS
18651	MUMBAI CENTRAL to PANDHARPUR via PHALTAN	MCT	PPR
18652	PANDHARPUR to MUMBAI CENTRAL via PHALTAN	PPR	MCT
18653	PAREL to AURANGABAD via PUNE RLY. STN.	PRL	AWBCBS
18654	MUNGSARA to NASIK CBS	MNSRNK	NSKCBS
18657	NARAYAN BAPU NAGAR to NIMANI	NRBNG	NMNI
18658	LATUR to GANGAPUR	LTR	GGP
18659	NAIGAON to NASIK ROAD via PALSE VILLEGE	NAIGAI	NSKRD
18662	NASIK NIMANI to AIR FORCE STN. BORGAD	NSKNMN	AFSB
18663	MALEGAON to MUMBAI CENTRAL	MLG	MCT
18665	NIMANI to BALAJI CHOWK /KONARK NAGAR	NMNI	BLJC
18666	BHALGAON to GANGAPUR	BLGNVA	GGP
18667	AKOLA to GANGAPUR	AKLCBS	GGP
18668	IGATPURI to NANGAON.	IGT	NNAIN
18669	DADAR EAST to SWARGATE, PUNE	DDRE	SWR
18670	NANGAON. to IGATPURI	NNAIN	IGT
18671	NASIK CBS to ASAWALI RLY. STN. via BHAGUR	NSKCBS	AAWAAA
18675	ASAWALI RLY. STN. to NASIK CBS via BHAGUR	AAWAAA	NSKCBS
18676	AURANGABAD to GANGAPUR via JIKTHAN	AWBCBS	GGP
18679	GANGAPUR to AURANGABAD via JIKTHAN	GGP	AWBCBS
18681	NIMANI to MHASARUL	NMNI	MHSRL
18682	NEWARGAON to GANGAPUR	NEWON	GGP
18683	MAHALGAON to VAIJAPUR	MHLAVAR	VJP
18684	GATEPIPALGAON to GANGAPUR	GTPPGAR	GGP
18685	GANGAPUR to KATEPIMPALGAON via SHINGI	GGP	KTPI
18686	KATEPIMPALGAON to GANGAPUR via SHINGI	KTPI	GGP
18687	NIMANI to GANGAPUR VILLAGE	NMNI	GPVL
18688	SAWKHEDA to GANGAPUR	SWHDGAR	GGP
18689	NIMANI to NASIK ROAD via ASHOKA TOWER	NMNI	NSKRD
18690	NIMANI to NASIK ROAD via ITRO CHAYA	NMNI	NSKRD
18691	GANGAPUR to AURANGABAD via WALUJ	GGP	AWBCBS
18692	AURANGABAD to GANGAPUR via WALUJ	AWBCBS	GGP
18694	NIMANI to ASARAM BAPU ASHRAM	NMNI	ARMBAPU
18695	BULDHANA to GANGAPUR	BLD	GGP
18697	TUDAKA to BHIVAPUR	TDKAUN	BHPR
18698	AURANGABAD to SHRIRAMPUR	AWBCBS	SMPR
18699	SHRIRAMPUR to AURANGABAD	SMPR	AWBCBS
18700	GANGAPUR to SHRIRAMPUR	GGP	SMPR
18701	BHAGUR to SHIVAJI NAGAR PUNE	BGR	SNGR
18702	SHRIRAMPUR to GANGAPUR	SMPR	GGP
18703	GANGAPUR to RAHURI	GGP	RHR
18704	GANGAPUR to AMBAJOGAI	GGP	ABJ
18705	TRIMBAKESHWAR to SHIRDI	TBK	SRDI
18706	AMBAJOGAI to GANGAPUR	ABJ	GGP
18708	BHIVAPUR to TUDAKA	BHPR	TDKAUN
18712	KANNAD to GANGAPUR via LASUR	KND	GGP
18714	NAGPUR to CHARGAON	NGPCBS	CAGUN
18715	DHULWAD to SINNAR	DUWSN	SNNR
18716	CHARGAON to NAGPUR	CAGUN	NGPCBS
18717	UMRED to WAKESHWAR	UMRD	WAEARMN
18718	WAKESHWAR to UMRED	WAEARMN	UMRD
18719	GANGAPUR to SHIVAJI NAGAR PUNE	GGP	SNGR
18720	HIVARE to SINNAR	HVRSN	SNNR
18723	GANGAPUR to LASUR	GGP	LSR
18724	LASUR to GANGAPUR	LSR	GGP
18729	AUNDHEWADI to SINNAR via DAVRE MALA	ANHSN	SNNR
18730	SHARAD WADI to SINNAR	SAADWD	SNNR
18731	SHIVAJI NAGAR to NIMANI via NASIK CBS	SVJINGNN	NMNI
18732	SINNAR to MALEGAON MIDC	SNNR	MLGSNK
18733	MALEGAON MIDC to SINNAR	MLGSNK	SNNR
18734	SINNAR to KHOPADI	SNNR	KHOI
18735	KHOPADI to SINNAR	KHOI	SNNR
18736	SHIRODA to SAWANTWADI via NANOS KONKAN PHARMA	SRD	SWD
18737	SHIRODA to SAWANTWADI via MALEWAD NAKA	SRD	SWD
18738	SHIRODA to SAWANTWADI via PHANASKHOL GANESH MANDIR	SRD	SWD
18739	UMRED to VIRKHANDI	UMRD	VIHDI
18740	VIRKHANDI to UMRED	VIHDI	UMRD
18741	UMRED to VELGAON	UMRD	VEON
18742	VELGAON to UMRED	VEON	UMRD
18743	TARUKHEDLE to BARAGAON PIMPRI	TAKLE	BGP
18752	BARAGAON PIMPRI to HIVARGAON	BGP	HVRGN
18754	PHANASKHOL GANESH MANDIR to SAWANTWADI	PHGNMD	SWD
18755	NAGPUR to BHIVAGAD	NGPCBS	BHVGD
18756	BHIVAGAD to NAGPUR	BHVGD	NGPCBS
18758	UMRED to BHIVAPUR	UMRD	BHPR
18759	BHIVAPUR to UMRED via NAND	BHPR	UMRD
18762	VADZIRE FATA to SINNAR	VDISN	SNNR
18763	RAVANDA to SINNAR	RVNDA	SNNR
18764	SATOSE DEWOOLWADA to SAWANTWADI via NIGUDE	STDW	SWD
18765	TUDAKA to UMRED via KUHI	TDKAUN	UMRD
18768	VAIJAPUR to GANGAPUR via MAHALGAON	VJP	GGP
18769	TUDAKA to UMRED	TDKAUN	UMRD
18771	SATARDA to SAWANTWADI via NIGUDE	STRVGS	SWD
18772	SATARDA to SAWANTWADI via GIROBA MANDIR	STRVGS	SWD
18773	SHIVAPUR HIGH SCHOOL to SAWANTWADI	SVHSC	SWD
18774	TATA METALIC to SAWANTWADI	TTVGS	SWD
18775	KANKOORI to AURANGABAD	KAKO	AWBCBS
18776	AURANGABAD to KANKOORI	AWBCBS	KAKO
18777	PARABWADI to SAWANTWADI	PRBVGS	SWD
18779	UPAWADE KERDALWADI to SAWANTWADI	UWKR	SWD
18781	USAP to SAWANTWADI	UADAS	SWD
18782	WASOLI VEERWADI to SAWANTWADI	WSLSAS	SWD
18783	TAMKARWADI to SINNAR	TMASN	SNNR
18785	ZAMKOLI to UMRED	ZMKLI	UMRD
18786	FOUJDARWADI to SAWANTWADI	FUDSAS	SWD
18787	VERLE TEMPLE to SAWANTWADI	VRLETM	SWD
18788	CHANODA to UMRED via SUKADI	CHADA	UMRD
18789	NASIK ROAD to AMBAD	NSKRD	AMBAMB
18791	NASIK ROAD to VADGAON PINGLA	NSKRD	VDGAIA
18792	WAGALGAON to VAIJAPUR	WGLGN	VJP
18793	BHADLEE to VAIJAPUR	BALVA	VJP
18794	WAGHALGAON to VAIJAPUR	WAGG	VJP
18797	BAJATHAN to VAIJAPUR	BJTHN	VJP
18798	BHALGAON to VAIJAPUR	BLGNVA	VJP
18799	BAHAHUR to VAIJAPUR	BHHRVAR	VJP
18800	HINGONI to VAIJAPUR	HIGNI	VJP
18802	LONI to VAIJAPUR	LONIVA	VJP
18803	KARNAJGAON to VAIJAPUR	KRON	VJP
18804	NANDGAON to VAIJAPUR	NNG	VJP
18805	NALEGAON to VAIJAPUR	NLGOVAR	VJP
18807	SHRIRAMPUR to VAIJAPUR via NAWOOR	SMPR	VJP
18808	SURALA to VAIJAPUR	SURALA	VJP
18809	VAIJAPUR to SAWKHEDGANGA	VJP	SAEGA
18810	SAWKHEDGANGA to VAIJAPUR	SAEGA	VJP
18811	CHINCHWAD to SOYGAON	CNWD	SYGN
18812	BHUSAVAL to AURANGABAD	BSL	AWBCBS
18813	SHEDURNI to SOYGAON	SDNI	SYGN
18814	BEED to SOYGAON	BEED	SYGN
18815	AURANGABAD to SOYGAON	AWBCBS	SYGN
18816	SOYGAON to AURANGABAD	SYGN	AWBCBS
18817	DHULE to SOYGAON	DHL	SYGN
18818	SOYGAON to AURANGABAD via WARKHEDI	SYGN	AWBCBS
18819	SOYGAON to FATEPUR	SYGN	FTPRSJL
18820	FATEPUR to SOYGAON	FTPRSJL	SYGN
18823	SOYGAON to DEVHARI via KINHI	SYGN	DVAISAR
18824	DEVHARI to SOYGAON via KINHI	DVAISAR	SYGN
18826	SOYGAON to SILLOD	SYGN	SLD
18827	SILLOD to SOYGAON	SLD	SYGN
18828	SOYGAON to GOLGAON	SYGN	GLAN
18829	GOLGAON to SOYGAON	GLAN	SYGN
18830	SIRSI to UMRED	SRSI	UMRD
18832	NASIK ROAD to MERI MUNICIPAL NAKA	NSKRD	MRUN
18833	NASIK ROAD to MHASARUL	NSKRD	MHSRL
18834	DONGARGAON to SINNAR	DNASN	SNNR
18835	NASIK ROAD to GANGA GHAT	NSKRD	GNGT
18836	NASIK ROAD to MODEL COLONY GATE	NSKRD	MODC
18837	NAGPUR to PAONI	NGPCBS	PNI
18838	PAONI to NAGPUR	PNI	NGPCBS
18840	NAGPUR to AMBHORA via AMBHORA KHURD	NGPCBS	AMRA
18842	AMBRAD to KANKAVALI	ABAKKS	KNK
18843	ACHARA BANDAR to KANKAVALI	ACBR	KNK
18844	ACHARA to KANKAVALI	ACRA	KNK
18845	ASGANI GPO to KANKAVALI via ASRONDI FATA	AGG	KNK
18846	ASRONDI SIMA to KANKAVALI	ARODMVSD	KNK
18847	BHIRAWANDE to KANKAVALI	BIAKKS	KNK
18848	SHIRSATWADI to KANKAVALI	SIST	KNK
18849	SHIRSATWADI to KANKAVALI via KALITRI	SIST	KNK
18852	ENGINERING COLLAGE to KANKAVALI	EGNKKS	KNK
18853	MALEWAD to KANKAVALI	MEWADKDS	KNK
18854	SONAWADE to KANKAVALI	SNWKAS	KNK
18856	SAIKHEDA to NASIK ROAD	SAIDA	NSKRD
18857	NASIK ROAD to TALWADI VILLEGE	NSKRD	TWATSN
18860	TALWADI VILLEGE to NASIK CBS	TWATSN	NSKCBS
18861	ASOLI to RAMTEK	ASOLIMN	RTK
18864	RAMTEK to NAGPUR via PILLI NADI	RTK	NGPCBS
18867	PANDHURLI to NASIK CBS	PNHRL	NSKCBS
18868	PATHARDI to NASIK NIMANI	PTHD	NSKNMN
18869	PIMPALGAON KHAMB to NASIK ROAD	PMKM	NSKRD
18872	PANDAV LENE to NIMANI	PVLN	NMNI
18874	RTO OFFICE to SHRAMIK NAGAR	RTOOTO	SAIKNG
18875	PANDAV LENE to NASIK ROAD	PVLN	NSKRD
18876	PANCHAK VILLAGE to MAHINDRA SPICERS	PNVL	MHIC
18878	ASARAM BAPU ASHRAM to NASIK ROAD via NASIK CBS	ARMBAPU	NSKRD
18879	PANCHAK VILLAGE to NASIK ROAD	PNVL	NSKRD
18881	SOUTH/OLANDA to DEOLALI CAMP	SUHOL	DCM
18882	PREPARATORY SCHOOL to DEOLALI CAMP	PTRYSC	DCM
18883	PANCHAK VILLAGE to NIMANI	PNVL	NMNI
18884	SOUTH/OLANDA to NASIK ROAD	SUHOL	NSKRD
18885	PREPARATORY SCHOOL to NIMANI	PTRYSC	NMNI
18886	DHONDIROAD to PIMPALGAON KHAMB	DODIN	PMKM
18887	PREPARATORY SCHOOL to SANSARI	PTRYSC	SNARI
18889	SHRAMIK NAGAR to NIMANI	SAIKNG	NMNI
18892	RAHU HOTEL to TRIMURTI CHOWK	RHHT	TMTICK
18893	P.C. SCHOOL to VASTI/HANDOLE	PCCH	VHN
18894	P.C. SCHOOL to INDRAPRASTH COLONY	PCCH	IDARA
18895	P.C. SCHOOL to NIMANI	PCCH	NMNI
18896	RAVIVAR KARANJA to SHRAMIK NAGAR	RVKN	SAIKNG
18897	RANENAGAR to NIMANI	RAEAR	NMNI
18898	PIMPALGAON NIPANI to NASIK ROAD	PMAGONSK	NSKRD
18899	RAJ RAJESHWARI MANGAL KARYALAYA to NIMANI	RRMK	NMNI
18900	KURLA NEHRU NAGAR to KHANDOBA PALI	KNN	KNDP
18901	RUSHIROOP POLYMERS to AIR FORCE STN. BORGAD	RHPM	AFSB
18902	RTO OFFICE to BHAGUR	RTOOTO	BGR
18905	RTO OFFICE to NARAYAN BAPU NAGAR	RTOOTO	NRBNG
18906	SHARMIK NAGAR to NIMANI	SAMKNGR	NMNI
18907	SHIVAJI CHOWK to NIMANI	SVCW	NMNI
18909	SHIVADA to BHAGUR	SIAANSK	BGR
18910	SHIVADA to NIMANI	SIAANSK	NMNI
18911	SHRAMIK NAGAR to NASIK ROAD	SAIKNG	NSKRD
18914	SHALIMAR to DEOLALI CAMP	SHLMR	DCM
18915	SHALIMAR to NASIK ROAD	SHLMR	NSKRD
18916	SHIVAJI CHOWK to MHASARUL	SVCW	MHSRL
18918	SHRAMIK NAGAR to RACHANA HIGH SCHOOL	SAIKNG	RCAAHNSK
18919	SHALIMAR to UTTAM NAGAR	SHLMR	UTAMNG
18920	REVARAL to RAMTEK	RVRL	RTK
18922	SHIVAJI NAGAR to NASIK ROAD via UPNAGAR	SVJINGNN	NSKRD
18924	UPENDRA NAGAR to NASIK ROAD	UNRANG	NSKRD
18925	UTTAM NAGAR to NIMANI via NASIK CBS	UTAMNG	NMNI
18926	SHIVAJI NAGAR to NASIK ROAD	SVJINGNN	NSKRD
18927	UTTAM NAGAR to NASIK ROAD via UNTAWADI	UTAMNG	NSKRD
18928	TRIMURTI NAGAR CHOWK to AIR FORCE STN. BORGAD	TIUTICHK	AFSB
18930	TRIMURTI NAGAR CHOWK to BALAJI CHOWK /KONARK NAGAR	TIUTICHK	BLJC
18931	UTTAM NAGAR to ADGAON	UTAMNG	ADGNN
18932	UTTAM NAGAR to BALAJI CHOWK /KONARK NAGAR	UTAMNG	BLJC
18933	YEOLA to MURMI	YLA	MRMI
18934	MURMI to YEOLA	MRMI	YLA
18935	TRIMBAK VIDYA MANDIR to NIMANI	TRVMD	NMNI
18936	UNIC COMPANY to NIMANI	UIOPNSK	NMNI
18937	UPENDRA NAGAR to NIMANI	UNRANG	NMNI
18938	PUSDA to RAMTEK	PSDARN	RTK
18939	YEOLA to KOPARGAON	YLA	KOP
18940	KOPARGAON to YEOLA	KOP	YLA
18941	MANMAD to YEOLA via SAOVARGAON	MMD	YLA
18942	VIJAY NAGAR to NASIK ROAD	VJNG	NSKRD
18944	WASALI VILLAGE to NIMANI	WSLINSK	NMNI
18945	WADIVHARE VILLAGE to NASIK CBS	WVVL	NSKCBS
18947	Y.B CHAVAN OPEN UNIVERSITY to NASIK ROAD	YBCOU	NSKRD
18948	Y.B CHAVAN OPEN UNIVERSITY to NIMANI	YBCOU	NMNI
18949	Y.B CHAVAN OPEN UNIVERSITY to NASIK ROAD via ST COLONY	YBCOU	NSKRD
18950	Y.B CHAVAN OPEN UNIVERSITY to NASIK ROAD via SHALIMAR	YBCOU	NSKRD
18951	YEOLA to SATANA	YLA	STNA
18952	SATANA to YEOLA	STNA	YLA
18954	AMBAD VILLAGE to NASIK NIMANI via NASIK CBS	AMBDVIL	NSKNMN
18956	WALAWALKAR HOUSE to KANKAVALI	WWARHS	KNK
18957	KHIDKI to NAGPUR	KHIDKIMN	NGPCBS
18958	HARKUL BHATWADI to PHONDA	HRBT	PND
18959	HATIWALE COLLAGE to KANKAVALI	HTWRAR	KNK
18961	NASIK NIMANI to AMBAD VILLAGE via MELTRON SEMI COND. LTD	NSKNMN	AMBDVIL
18962	AMBAD VILLAGE to NASIK NIMANI via MELTRON SEMI COND. LTD	AMBDVIL	NSKNMN
18963	DR. BABASAHEB AMBEDKAR NAGAR to NIMANI	DBBSNSK	NMNI
18964	DR. BABASAHEB AMBEDKAR NAGAR to NASIK ROAD	DBBSNSK	NSKRD
18965	RAMTEK to KAMTHI	RTK	KMT
18966	KAMTHI to RAMTEK	KMT	RTK
18967	RAMTEK to PENCH	RTK	PENCH
18968	PENCH to RAMTEK	PENCH	RTK
18969	GUHAGAR to TAVSAL via KUDALI BUNDER	GHR	TAVSAL
18972	JAMBHAWADE GURAVWADI to KANKAVALI	JMGR	KNK
18973	VAIJAPUR to SHIVAJI NAGAR PUNE via GANGAPUR	VJP	SNGR
18976	JAMBHAWADE GURAVWADI to KANKAVALI via KARUL	JMGR	KNK
18977	KHIDKI to KAMTHI	KHIDKIMN	KMT
18978	KAMTHI to KHIDKI	KMT	KHIDKIMN
18983	SATYAGAON to YEOLA via BHINGARE	STYGN	YLA
18984	NAGPUR to KHAT	NGPCBS	KHATQ
18986	YEOLA to PATODA via SAVARGAON	YLA	PPTDYN
18987	PATODA to YEOLA via SAVARGAON	PPTDYN	YLA
18989	VAIJAPUR to LASUR RLY. STN.	VJP	LSRRGAR
18990	LASUR RLY. STN. to VAIJAPUR	LSRRGAR	VJP
18991	VAIJAPUR to SHIRDI via KOPARGAON	VJP	SRDI
18992	SHIRDI to VAIJAPUR via KOPARGAON	SRDI	VJP
18993	VAIJAPUR to KOPARGAON via UKADGAON	VJP	KOP
18994	KOPARGAON to VAIJAPUR via UKADGAON	KOP	VJP
18995	KANNAD to VAIJAPUR via AURALA	KND	VJP
18996	VINCHUR to YEOLA	VCR	YLA
18997	YEOLA to VINCHUR	YLA	VCR
18998	SHRAMIK NAGAR to AIR FORCE STN. BORGAD via NIMANI	SAIKNG	AFSB
19002	BANDIVADE BUNDAR to KANKAVALI	BNIMVS	KNK
19003	BANDIVADE BUNDAR to KANKAVALI via KOIL KAP	BNIMVS	KNK
19004	KHAT to RAMTEK	KHATQ	RTK
19006	RAMTEK to PARDI	RTK	PRD
19009	PARDI to PARSHIVANI	PRD	PRSV
19010	PARSHIVANI to MAHENDRI	PRSV	MHNPN
19011	MAHENDRI to PARSHIVANI	MHNPN	PRSV
19012	PARSHIVANI to DORLI	PRSV	DRIKN
19013	DORLI to PARSHIVANI	DRIKN	PRSV
19015	TEKADI to RAMTEK	TKDPN	RTK
19016	PARSHIVANI to TEKADI	PRSV	TKDPN
19018	RAMTEK to MANDRI FATA	RTK	MNRIFTRN
19019	MANDRI FATA to RAMTEK	MNRIFTRN	RTK
19020	NAGPUR to TEKADI	NGPCBS	TKDPN
19022	DHULE to BARAMATI	DHL	BMT
19026	JALNA to BARAMATI	JLN	BMT
19027	NAGPUR to LODHA	NGPCBS	LDHA
19028	LODHA to NAGPUR	LDHA	NGPCBS
19029	NIMANI to MAHATMA NAGAR via SHALIMAR	NMNI	MHMANG
19031	YEOLA to WAGHOBA	YLA	WGHO
19032	WAGHOBA to YEOLA	WGHO	YLA
19034	MAHATMA NAGAR to NIMANI	MHMANG	NMNI
19036	KHUTWAD NAGAR to MHASARUL	KUWDNNSK	MHSRL
19037	KHUTWAD NAGAR to NIMANI	KUWDNNSK	NMNI
19038	SHRAMIK NAGAR to MHASARUL via NIMANI	SAIKNG	MHSRL
19039	MHASARUL to SHRAMIK NAGAR via NIMANI	MHSRL	SAIKNG
19040	BARAMATI to MUMBAI CENTRAL via HOL	BMT	MCT
19044	BARAMATI to MUMBAI CENTRAL via TARDOLI	BMT	MCT
19048	RAMTEK to DHANALA	RTK	DHALA
19049	DHANALA to RAMTEK	DHALA	RTK
19052	RAMTEK to UMRED	RTK	UMRD
19054	DHRUV NAGAR to NASIK ROAD	DRVNA	NSKRD
19055	RAMTEK to KHODGAON	RTK	KOGAOL
19056	KHODGAON to RAMTEK	KOGAOL	RTK
19057	DHRUV NAGAR to NIMANI via CEAT TYRES CO.	DRVNA	NMNI
19058	DHRUV NAGAR to NIMANI	DRVNA	NMNI
19060	ADEGAON to MAUDA via MAUDA	AEAMN	MDA
19064	PARSHIVANI to RAMTEK via MANSAR	PRSV	RTK
19065	SANGLI to BARAMATI	SGL	BMT
19066	RAMTEK to MURMADI	RTK	MRMDISN
19069	MURMADI to REVARAL	MRMDISN	RVRL
19072	RAMTEK to SILARI	RTK	SLRRN
19073	SILARI to RAMTEK	SLRRN	RTK
19074	SHRIRAMPUR to BARAMATI	SMPR	BMT
19077	RAMTEK to UMARIPALI	RTK	UMRPLI
19078	UMARIPALI to RAMTEK	UMRPLI	RTK
19080	VADNER GATE to NIMANI	VRGT	NMNI
19082	RAMTEK to DHANOLI	RTK	DAOHN
19083	DHANOLI to RAMTEK	DAOHN	RTK
19084	GUHAGAR to VELDUR via DHOPAVE BANDAR	GHR	VLDR
19085	NAGPUR to PUSDA	NGPCBS	PSDARN
19086	PUSDA to NAGPUR	PSDARN	NGPCBS
19087	GUHAGAR to WARVELI RANJANWADI	GHR	WRRN
19088	RAMTEK to GADMANDIR	RTK	GAMIR
19089	GADMANDIR to RAMTEK	GAMIR	RTK
19090	NANEGAON VILLAGE to NASIK ROAD	NNGONSK	NSKRD
19091	NASIK ROAD to NANEGAON VILLAGE	NSKRD	NNGONSK
19092	PANMARA to MAUDA	PNMRA	MDA
19093	MAUDA to PANMARA	MDA	PNMRA
19094	RAMTEK to DORLI	RTK	DRINN
19095	DORLI to RAMTEK	DRINN	RTK
19100	KOLITMARA to RAMTEK	KOTRA	RTK
19101	RAMTEK to KARWAHI	RTK	KRWHI
19102	KARWAHI to RAMTEK	KRWHI	RTK
19103	RAMTEK to HIWARA	RTK	HWRMN
19104	HIWARA to RAMTEK	HWRMN	RTK
19105	YEOLA to NANDURBAR	YLA	NBR
19106	NANDURBAR to YEOLA	NBR	YLA
19107	KANDALI to PADGHA	KADLI	PDGHA
19109	DHANALA to MAUDA	DHALA	MDA
19112	PANMARA to RAMTEK	PNMRA	RTK
19113	SAGAON to BHIVANDI	SAGAONBT	BVD
19114	YEOLA to KALYAN	YLA	KLN
19115	KALYAN to YEOLA	KLN	YLA
19116	NIMANI to NASIK ROAD via PATHARDI	NMNI	NSKRD
19121	AINAL PIMPALWADI to KANKAVALI	AALPKNS	KNK
19122	PIMPALWADI AINAL to KANKAVALI	PLAN	KNK
19123	RAMTEK to GUGALDOH	RTK	GGLDH
19124	GUGALDOH to RAMTEK	GGLDH	RTK
19126	SOYGAON to AURANGABAD via NAREGAON X RD.	SYGN	AWBCBS
19127	RAMTEK to NAVEGAON	RTK	NVGARN
19128	NAVEGAON to RAMTEK	NVGARN	RTK
19130	SAONER to NAGPUR via TAKALI	SNR	NGPCBS
19131	SOYGAON to WORKHEDI	SYGN	WRKHDI
19132	WORKHEDI to SOYGAON	WRKHDI	SYGN
19133	KOYANANAGAR to BHIVANDI	KYNAA	BVD
19134	DHAMANGAON to KAMNAPUR	DMGN	KAMNPR
19135	KAMNAPUR to DHAMANGAON	KAMNPR	DMGN
19137	KARALA to CHANDUR RAILWAY via AMALA	KRLTA	CHNRLY
19138	SAWANGA to CHANDUR RAILWAY	SWNCA	CHNRLY
19139	VENI GANESHPUR to CHANDUR RAILWAY	VNGS	CHNRLY
19142	BULDHANA to CHANDUR RAILWAY	BLD	CHNRLY
19143	RAMTEK to CHARGAON	RTK	CAGMNGP
19144	CHARGAON to RAMTEK	CAGMNGP	RTK
19145	JALGAON JAMOD to CHANDUR RAILWAY	JLGJ	CHNRLY
19146	SHEGAON to CHANDUR RAILWAY	SGN	CHNRLY
19147	WASHIM to CHANDUR RAILWAY	WSM	CHNRLY
19148	SOYGAON to JALNA	SYGN	JLN
19149	AURANGABAD to CHANDUR RAILWAY via LONI	AWBCBS	CHNRLY
19150	DURGWADA to KURHA	DUGDA	KRH
19151	DGP NAGAR END / FLOUR MILL to NIMANI	DPNGRNSK	NMNI
19152	UTTAM NAGAR to NANDURBAR	UTAMNG	NBR
19153	PULGAON to DHAMANGAON via KHARDA	PLG	DMGN
19155	SHIVAJI NAGAR PUNE to JALGAON	SNGR	JLG
19156	MANGARUL DASTGIR to DHAMANGAON	MNADAE	DMGN
19158	AINAL CHAVATA to KANKAVALI	AALCKNS	KNK
19159	NIMANI to MAHINDRA SPICERS	NMNI	MHIC
19162	SOYGAON to FARJAPUR	SYGN	FRJPR
19163	FARJAPUR to SOYGAON	FRJPR	SYGN
19164	NIMANI to NASIK ROAD via VIJAY NAGAR	NMNI	NSKRD
19165	MAUDA to KANHAN	MDA	KNARN
19167	RAMTEK to KANHAN	RTK	KNARN
19168	KANHAN to RAMTEK	KNARN	RTK
19169	CHINCHAWALI WARCHIWADI to KHAREPATAN	CWWR	KRPTN
19170	KANEDI to KANKAVALI via NAGAVE KHADAK	KNDIKNS	KNK
19171	NANDGAON to MALEGAON	NNG	MLG
19173	KANHAN to RAMTEK via TARSA	KNARN	RTK
19174	DEOGAD to KANKAVALI via HADPID	DGD	KNK
19176	DEOGAD to KANKAVALI via ARE	DGD	KNK
19177	SOYGAON to SHIVAJI NAGAR PUNE	SYGN	SNGR
19178	NANDGAON to NANDURBAR	NNG	NBR
19179	NANDURBAR to NANDGAON	NBR	NNG
19180	RANJANWADI to KANKAVALI via BHAT DUKAN	RNWD	KNK
19181	RANJANWADI to KANKAVALI	RNWD	KNK
19182	RAMTEK to KACHURWAHI	RTK	KAHHI
19183	KACHURWAHI to RAMTEK	KAHHI	RTK
19186	YEOLA to BHATGAON	YLA	BAGYN
19187	BHATGAON to YEOLA	BAGYN	YLA
19188	GADAGESAKHAL to PHONDA	GSHL	PND
19189	GHONSARI to PHONDA	GNRI	PND
19191	KASAL to KANKAVALI	KSL	KNK
19192	PANCHAK VILLAGE to C. P. TOOLS / M & M	PNVL	CPTMM
19194	KHALANTAR to KANKAVALI	KLTR	KNK
19195	KUMBHAWADE to KANKAVALI	KBHAWKNS	KNK
19196	KHANDALA to WAI	KHNDP	WAI
19197	KIRLOS to KANKAVALI	KIR	KNK
19198	KIRLOS to KANKAVALI via KASRAL DISP	KIR	KNK
19199	YEOLA to DESHMANE	YLA	DSHMN
19200	DESHMANE to YEOLA	DSHMN	YLA
19201	RAMTEK to MAHUR via PULGAON	RTK	MHR
19202	MAHUR to RAMTEK via PULGAON	MHR	RTK
19203	BHAYANDER to BHIVANDI via DIVA	BYDR	BVD
19204	TRIMURTI CHOWK PATIL FARM to NIMANI	TRCPFM	NMNI
19207	YEOLA to SAVARGAON	YLA	SVRGN
19208	SAVARGAON to YEOLA	SVRGN	YLA
19209	NASIK CBS to VAIJAPUR	NSKCBS	VJP
19210	MAUDA to VAYGAON	MDA	VYGN
19211	VAYGAON to MAUDA	VYGN	MDA
19212	BARAMATI to SHIVPURI	BMT	SVPRI
19213	KALSULI HUMARNE to KANKAVALI via DATTA MANDIR	KLHM	KNK
19214	KALSULI HUMARNE to KANKAVALI	KLHM	KNK
19218	KANEDI to KANKAVALI via BHAT DUKAN	KNDIKNS	KNK
19219	WAI to LONAND	WAI	LND
19221	PAITHAN to KADETHAN via KAPUSWADI / VAHEGAON X RD.	PTHN	KDTHN
19222	KADETHAN to PAITHAN via KAPUSWADI / VAHEGAON X RD.	KDTHN	PTHN
19223	TULJAPUR to LASALGAON	TJP	LGN
19224	AMALNER to LASALGAON	AMN	LGN
19225	LASALGAON to AHMEDNAGAR MALIWADA via KOLPEWADI	LGN	ANGRMWD
19226	AHMEDNAGAR MALIWADA to LASALGAON via KOLPEWADI	ANGRMWD	LGN
19227	BARAMATI to MURTI	BMT	MRTI
19230	BARAMATI to JALGAON via MORE VASTI	BMT	JLGBMT
19231	BARAMATI to BAJRANG WADI	BMT	BJABP
19233	MANMAD to LASALGAON via NIMBALE	MMD	LGN
19234	TALAWADE MANDIR to KANKAVALI	TLWKKS	KNK
19235	BARAMATI to MIDC	BMT	MIDC
19236	INDAPUR to WALCHANDNAGAR	INDPNE	WLCDNR
19237	WALCHANDNAGAR to INDAPUR	WLCDNR	INDPNE
19238	WALCHANDNAGAR to BARAMATI	WLCDNR	BMT
