ROUTE_NO	ROUTE_NAME	FROM_STOP_CD	TILL_STOP_CD
192	BHIVANDI to SANGOLA	BVD	SNGO
195	BHIVANDI to GANGAPUR	BVD	GNGPR
198	BHIVANDI to BIJAPUR	BVD	BJP
199	THANE CBS to SHIRDI	THNCBS	SRDI
200	BHIVANDI to SANGAMNER	BVD	SMR
203	SHAHAPUR to PANDHARPUR	SHPR	PPR
204	SHAHAPUR to TARAKPUR	SHPR	TKPR
205	SHAHAPUR to SWARGATE, PUNE	SHPR	SWR
209	KALYAN to SHRIRAMPUR	KLN	SMPR
210	MURBAD to ALIBAG	MRBD	ALB
211	WADA to SWARGATE, PUNE	WADA	SWR
212	KALYAN to CHANDGAD	KLN	CHD
213	KALYAN to SHIVAJI NAGAR PUNE	KLN	SNGR
216	KALYAN to SHIROLI	KLN	SRI
217	KALYAN to BHIMASHANKAR	KLN	BMHS
218	KALYAN to UMBRAJ NO.1	KLN	UJN
220	THANE LOKMANYA NAGAR to JUNNAR	THLMNG	JNR
221	THANE CBS to BAGMANDALA	THNCBS	BGMD
225	THANE CBS to SAKHARPA	THNCBS	SKP
229	CHINCHWAD to BHOOM	CNWD	BHM
230	CHINCHWAD to WASHI	CNWD	WSI
231	CHINCHWAD to BHOOM via PATHRUD	CNWD	BHM
232	CHINCHWAD to KALAMB	CNWD	KLM
233	CHINCHWAD to KALAMB via PATAS	CNWD	KLM
234	CHINCHWAD to UMERGA	CNWD	UMG
236	SHIVAJI NAGAR PUNE to OSMANABAD via YAVAT	SNGR	OSM
237	CHINCHWAD to PARANDA via INDAPUR	CNWD	PRND
238	CHINCHWAD to PARANDA via PATAS	CNWD	PRND
239	SWARGATE, PUNE to PARANDA via PATAS	SWR	PRND
240	CHINCHWAD to TULJAPUR via BARSHI	CNWD	TJP
241	SHIVAJI NAGAR PUNE to TULJAPUR via YAVAT	SNGR	TJP
243	BORIVALI NANCY COLONY to BHOOM	BVINC	BHM
244	BHOOM to BORIVALI NANCY COLONY	BHM	BVINC
245	MUMBAI CENTRAL to BHOOM	MCT	BHM
247	BORIVALI NANCY COLONY to UMERGA	BVINC	UMG
248	KURLA NEHRU NAGAR to UMERGA	KNN	UMG
249	BORIVALI NANCY COLONY to UMERGA via TULJAPUR	BVINC	UMG
250	BORIVALI NANCY COLONY to OSMANABAD	BVINC	OSM
251	MUMBAI CENTRAL to KALAMB via KHARDA	MCT	KLM
252	MUMBAI CENTRAL to OSMANABAD via SION	MCT	OSM
255	BORIVALI NANCY COLONY to ATPADI via KURLA NEHRU NAGAR	BVINC	ATPD
256	MUMBAI CENTRAL to SANGLI	MCT	SGL
259	BORIVALI NANCY COLONY to SHIRALA via DHARAVI	BVINC	SHRL
260	MUMBAI CENTRAL to SHIRALA via KATRAJ BYPASS	MCT	SHRL
