route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id
475,FULLW,95710,"Curchorem Government Polytechnic. College via Shiroda",,1
5,FULLW,95491,"Panaji via Ponda Busstand",,1
10,FULLW,96338,"Sankhali via Mapusa",,0
10,FULLW,96351,"Sankhali via Mapusa",,0
10,FULLW,96363,"Sankhali via Mapusa",,0
10,FULLW,96377,"Panaji via Mapusa",,1
10,FULLW,96391,"Panaji via Mapusa",,1
12,FULLW,95607,"Ponda",,0
12,FULLW,95618,"Ponda",,0
12,FULLW,95625,"Ponda",,0
12,FULLW,95632,"Ponda",,0
12,FULLW,95644,"Ponda",,0
12,FULLW,95653,"Ponda",,0
12,FULLW,95665,"Ponda",,0
12,FULLW,95675,"Ponda",,0
12,FULLW,95683,"Ponda",,0
12,FULLW,95694,"Ponda",,0
12,FULLW,95705,"Ponda",,0
12,FULLW,95719,"Ponda",,0
12,FULLW,95730,"Ponda",,0
12,FULLW,95739,"Ponda",,0
12,FULLW,95755,"Ponda",,0
12,FULLW,95775,"Ponda",,0
12,FULLW,95797,"Ponda",,0
12,FULLW,95814,"Ponda",,0
12,FULLW,95826,"Ponda",,0
12,FULLW,95838,"Vasco",,1
12,FULLW,95855,"Vasco",,1
12,FULLW,95866,"Vasco",,1
12,FULLW,95876,"Vasco",,1
12,FULLW,95888,"Vasco",,1
12,FULLW,95895,"Vasco",,1
12,FULLW,95904,"Vasco",,1
12,FULLW,95914,"Vasco",,1
12,FULLW,95922,"Vasco",,1
12,FULLW,95931,"Vasco",,1
12,FULLW,95940,"Vasco",,1
12,FULLW,95949,"Vasco",,1
12,FULLW,95957,"Vasco",,1
12,FULLW,95967,"Vasco",,1
12,FULLW,95980,"Vasco",,1
19,FULLW,95599,"Margao",,0
19,FULLW,95606,"Margao",,0
19,FULLW,95614,"Margao",,0
19,FULLW,95622,"Margao",,0
19,FULLW,95630,"Margao",,0
19,FULLW,95638,"Margao",,0
19,FULLW,95648,"Margao",,0
19,FULLW,95658,"Margao",,0
19,FULLW,95669,"Margao",,0
19,FULLW,95679,"Margao",,0
19,FULLW,95688,"Margao",,0
19,FULLW,95698,"Margao",,0
19,FULLW,95706,"Margao",,0
19,FULLW,95720,"Margao",,0
19,FULLW,95728,"Margao",,0
19,FULLW,95738,"Margao",,0
19,FULLW,95746,"Margao",,0
19,FULLW,95764,"Margao",,0
19,FULLW,95783,"Margao",,0
19,FULLW,95803,"Margao",,0
19,FULLW,95817,"Margao",,0
19,FULLW,95827,"Margao",,0
19,FULLW,95843,"Margao",,0
19,FULLW,95854,"Margao",,0
19,FULLW,95864,"Margao",,0
19,FULLW,95873,"Margao",,0
19,FULLW,95882,"Margao",,0
19,FULLW,95893,"Margao",,0
19,FULLW,95903,"Margao",,0
19,FULLW,95910,"Margao",,0
19,FULLW,95918,"Margao",,0
19,FULLW,95927,"Margao",,0
19,FULLW,95934,"Margao",,0
19,FULLW,95942,"Margao",,0
19,FULLW,95948,"Margao",,0
19,FULLW,95956,"Margao",,0
19,FULLW,95965,"Margao",,0
19,FULLW,95973,"Vasco",,1
19,FULLW,95985,"Vasco",,1
19,FULLW,95996,"Vasco",,1
19,FULLW,96008,"Vasco",,1
19,FULLW,96021,"Vasco",,1
19,FULLW,96036,"Vasco",,1
19,FULLW,96046,"Vasco",,1
19,FULLW,96058,"Vasco",,1
19,FULLW,96069,"Vasco",,1
19,FULLW,96082,"Vasco",,1
19,FULLW,96096,"Vasco",,1
19,FULLW,96112,"Vasco",,1
19,FULLW,96128,"Vasco",,1
19,FULLW,96143,"Vasco",,1
19,FULLW,96152,"Vasco",,1
19,FULLW,96160,"Vasco",,1
19,FULLW,96168,"Vasco",,1
19,FULLW,96175,"Vasco",,1
19,FULLW,96184,"Vasco",,1
19,FULLW,96193,"Vasco",,1
19,FULLW,96204,"Vasco",,1
19,FULLW,96210,"Vasco",,1
19,FULLW,96218,"Vasco",,1
19,FULLW,96228,"Vasco",,1
19,FULLW,96243,"Vasco",,1
45,FULLW,95499,"Sankhali via Marcel",,0
45,FULLW,95507,"Sankhali via Marcel",,0
45,FULLW,95511,"Sankhali via Marcel",,0
45,FULLW,95518,"Sankhali via Marcel",,0
45,FULLW,95524,"Sankhali via Marcel",,0
