stop_id,stop_name,stop_lat,stop_lon,location_type
1,"Panaji KTC Bus Stand",15.495310025600000,73.837060332300000,0
2,"Teen Building",15.520259857177734,73.828338623046880,0
3,"Teen Building",15.520595550537110,73.829216003417970,0
4,"Training College",15.524326324462890,73.827041625976560,0
5,"Training College",15.524362564086914,73.827781677246100,0
6,"Gulyakade",15.531435012817383,73.824668884277340,0
7,"Gulyakade",15.531170845031738,73.824996948242190,0
8,"Porvorim Copel",15.534029006958008,73.823898315429690,0
9,"Porvorim Copel",15.534414291381836,73.823921203613280,0
10,"Vadakade",15.541442871093750,73.821464538574220,0
11,"Vadakade",15.541584968566895,73.821617126464840,0
12,"Porvorim Tisk",15.551952362060547,73.817871093750000,0
13,"Porvorim Tisk",15.552231788635254,73.817466735839840,0
14,"Guirim Cross",15.565344810485840,73.808372497558600,0
15,"Guirim Cross",15.565473556518555,73.808532714843750,0
16,"Green Park Junction",15.573043823242188,73.806457519531250,0
17,"Green Park Junction",15.572948455810547,73.806762695312500,0
18,"Guirim Copel",15.579051017761230,73.806144714355470,0
19,"Guirim Copel",15.578826904296875,73.806236267089840,0
20,"Mapusa  KTC Bus Stand",15.589179039001465,73.809936523437500,0
21,"Dhuler",15.601876258850098,73.815734863281250,0
22,"Dhuler",15.601985931396484,73.815719604492190,0
23,"Karaswada Char Rasta",15.608547210693360,73.823959350585940,0
24,"Karaswada Char Rasta",15.608703613281250,73.823890686035160,0
25,"Madel",15.618777275085450,73.837303161621100,0
26,"Madel",15.618684768676758,73.837409973144530,0
27,"Thivim Ground",15.622522354125977,73.855186462402340,0
28,"Thivim Ground",15.622422218322754,73.855377197265620,0
29,"Cansa Bodiem",15.626439094543457,73.867279052734380,0
30,"Cansa Bodiem",15.626312255859375,73.867248535156250,0
31,"Tivim Railway Stn.",15.626811027526855,73.875534057617190,0
32,"Tivim Railway Stn.",15.626732826232910,73.875465393066400,0
33,"Zarapkar Petrol Pump",15.622336387634277,73.885375976562500,0
34,"Zarapkar Petrol Pump",15.622301101684570,73.885238647460940,0
35,"Assnoda KTC Bus Stand",15.618949223600000,73.901350259800000,0
36,"Assnoda Paar",15.620113372802734,73.906600952148440,0
37,"Assnoda Paar",15.619965553283691,73.906578063964840,0
38,"Tamda Rasta",15.617999076843262,73.921081542968750,0
39,"Tamda Rasta",15.617901802062988,73.921043395996100,0
40,"Mulgao",15.614584922790527,73.926826477050780,0
41,"Mulgao",15.614514350891113,73.926719665527340,0
42,"Vaalshi",15.605391502380371,73.934112548828120,0
43,"Vaalshi",15.605388641357422,73.933959960937500,0
44,"ITI Bicholim",15.603437423706055,73.935752868652340,0
45,"ITI Bicholim",15.603275299072266,73.935722351074220,0
46,"Bordem",15.593248367309570,73.944976806640620,0
47,"Bordem",15.593176841735840,73.944877624511720,0
48,"Shantadurga Highschool",15.591218948364258,73.946693420410160,0
49,"Shantadurga Highschool",15.591030120849610,73.946586608886720,0
50,"Bicholim KTC Bus Stand",15.588580131530762,73.949691772460940,0
51,"Bicholim Hospital",15.584638595581055,73.959709167480470,0
52,"Bicholim Hospital",15.584488868713379,73.959701538085940,0
53,"Sarvan Cross",15.578919410705566,73.973800659179690,0
54,"Sarvan Cross",15.578865051269531,73.973648071289060,0
55,"Karapur Tisk",15.567975997924805,74.002830505371100,0
56,"Karapur Tisk",15.567867279052734,74.002815246582030,0
57,"Datt Mandir",15.565889358520508,74.008316040039060,0
58,"Datt Mandir",15.565671920776367,74.008171081542970,0
59,"Sankhali KTC Bus Stand",15.561471939100000,74.009994506800000,0
60,"Sankhali Hospital Junction",15.557374000549316,74.015914916992190,0
61,"Sankhali Hospital Junction",15.557495117187500,74.016006469726560,0
62,"Housing Board",15.556924484800000,74.022731065800000,0
63,"Housing Board",15.556807518005371,74.022766113281250,0
64,"Harvale",15.555017471313477,74.026885986328120,0
65,"Harvale",15.554931640625000,74.027008056640620,0
66,"Honda Market",15.548433303833008,74.044937133789060,0
67,"Honda Market",15.548324584960938,74.044830322265620,0
68,"Honda KTC Bus Stand",15.546117782592773,74.052230834960940,0
69,"Vadakade Honda",15.542024612426758,74.059295654296880,0
70,"Vadakade Honda",15.541942596435547,74.059387207031250,0
71,"ACGL Honda",15.543018341064453,74.062683105468750,0
72,"ACGL Honda",15.542901992797852,74.062736511230470,0
73,"Saleli Cross",15.544722557067871,74.068794250488280,0
74,"Saleli Cross",15.544611930847168,74.068710327148440,0
75,"ACGL Bhuipal",15.542392730712890,74.077667236328120,0
77,"Kumarkhan",15.536913871765137,74.091247558593750,0
78,"Kumarkhan",15.536772727966309,74.091239929199220,0
79,"Nanus Cross",15.526768684387207,74.128616333007810,0
80,"Nanus Cross",15.526867866516113,74.128738403320310,0
81,"Valpoi Bazaar",15.530851364135742,74.137062072753900,0
82,"Valpoi Bazaar",15.530971527099610,74.137001037597660,0
83,"Valpoi KTC Bus Stand",15.532760620117188,74.141441345214840,0
84,"Pundalik Nagar",15.515764236450195,73.834350585937500,0
85,"Pundalik Nagar",15.515999794006348,73.834587097167970,0
86,"Mapusa Court",15.593799591064453,73.814216613769530,0
87,"Mapusa Court",15.593618392944336,73.814247131347660,0
88,"Karaswada IDC",15.613779067993164,73.822723388671880,0
89,"Karaswada IDC",15.613688468933105,73.822914123535160,0
90,"Colvale Housing Board",15.627985954284668,73.825622558593750,0
91,"Colvale Housing Board",15.627786636352539,73.825630187988280,0
92,"Binani",15.635825157165527,73.830329895019530,0
93,"Binani",15.635766983032227,73.830383300781250,0
94,"Colvale Char Rasta",15.645122528076172,73.834747314453120,0
