D14608,"The last stop_time in trip D14608 is missing times."
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0941"
L0941,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L0941"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0942"
L0942,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L0942"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0943"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0943"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0943"
L0943,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0943"
L0945,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0945"
L0947,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0947"
L0953,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0953"
L0954,"Duplicate stop_sequence in trip_id L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 11 in trip L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 6 in trip L0954"
L0954,"Timetravel detected! Arrival time is before previous departure at sequence number 7 in trip L0954"
L0955,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0955"
L0957,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L0957"
L0957,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0957"
L0957,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0957"
L0963,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L0963"
L0963,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L0963"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L0971"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0971"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L0971"
L0971,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L0971"
L0972,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L0972"
L0972,"Timetravel detected! Arrival time is before previous departure at sequence number 16 in trip L0972"
L0972,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L0972"
L0972,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L0972"
L0972,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L0972"
L0987,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L0987"
L0994,"Timetravel detected! Arrival time is before previous departure at sequence number 12 in trip L0994"
L0994,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L0994"
L0994,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L0994"
L0994,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L0994"
L0994,"Timetravel detected! Arrival time is before previous departure at sequence number 6 in trip L0994"
L0994,"Timetravel detected! Arrival time is before previous departure at sequence number 7 in trip L0994"
L10006,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L10006"
L1011,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L1011"
L1013,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L1013"
L1013,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L1013"
L1014,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L1014"
L1014,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L1014"
L1014,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L1014"
L1014,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L1014"
L1014,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L1014"
L1017,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L1017"
L1017,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L1017"
L1018,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L1018"
L1018,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L1018"
L1018,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L1018"
L109122,"The last stop_time in trip L109122 is missing times."
L109123,"The last stop_time in trip L109123 is missing times."
L109124,"The last stop_time in trip L109124 is missing times."
L109128,"High speed travel detected in trip L109128: BULDHANA to DHAD. 23946 meters in 600 seconds. (144 km/h)."
L109128,"The last stop_time in trip L109128 is missing times."
L1104351,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L1104351"
L1111111,"Timetravel detected! Arrival time is before previous departure at sequence number 3 in trip L1111111"
L1111111,"Timetravel detected! Arrival time is before previous departure at sequence number 6 in trip L1111111"
L1111111,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L1111111"
L111114,"Timetravel detected! Arrival time is before previous departure at sequence number 4 in trip L111114"
L111114,"Timetravel detected! Arrival time is before previous departure at sequence number 7 in trip L111114"
L111114,"Timetravel detected! Arrival time is before previous departure at sequence number 8 in trip L111114"
L111114,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L111114"
L11194,"The last stop_time in trip L11194 is missing times."
L11733,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L11733"
L11736,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L11736"
