D14608,"The last stop_time in trip D14608 is missing times."
L2844,"The last stop_time in trip L2844 is missing times."
L30227,"Departure time before arrival time"
L30227,"High speed travel detected in trip L30227: WATHAR to ICHALKARANJI. 25245 meters in 420 seconds. (216 km/h)."
L305,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L305"
L305,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L305"
L309,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L309"
L309,"Timetravel detected! Arrival time is before previous departure at sequence number 50 in trip L309"
L309,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L309"
L309,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L309"
L310,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L310"
L310,"Timetravel detected! Arrival time is before previous departure at sequence number 48 in trip L310"
L310,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L310"
L310,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L310"
L3110,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L3110"
L3110,"Timetravel detected! Arrival time is before previous departure at sequence number 6 in trip L3110"
L3110,"Timetravel detected! Arrival time is before previous departure at sequence number 9 in trip L3110"
L3119,"High speed travel detected in trip L3119: SWARGATE, PUNE to PUNE RLY. STN.. 3424 meters in 60 seconds. (205 km/h)."
L311,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L311"
L311,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L311"
L311,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L311"
L311,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L311"
L3121,"Timetravel detected! Arrival time is before previous departure at sequence number 80 in trip L3121"
L3121,"Timetravel detected! Arrival time is before previous departure at sequence number 81 in trip L3121"
L3125,"Timetravel detected! Arrival time is before previous departure at sequence number 80 in trip L3125"
L3125,"Timetravel detected! Arrival time is before previous departure at sequence number 81 in trip L3125"
L3127,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3127"
L3127,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L3127"
L3127,"Timetravel detected! Arrival time is before previous departure at sequence number 48 in trip L3127"
L3127,"Timetravel detected! Arrival time is before previous departure at sequence number 56 in trip L3127"
L3128,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L3128"
L3129,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L3129"
L3129,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3129"
L3129,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L3129"
L3129,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L3129"
L312,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L312"
L312,"Timetravel detected! Arrival time is before previous departure at sequence number 38 in trip L312"
L312,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L312"
L3131,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L3131"
L313,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L313"
L313,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L313"
L313,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L313"
L313,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L313"
L313,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L313"
L313,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L313"
L3149,"Timetravel detected! Arrival time is before previous departure at sequence number 65 in trip L3149"
L3149,"Timetravel detected! Arrival time is before previous departure at sequence number 74 in trip L3149"
L3149,"Timetravel detected! Arrival time is before previous departure at sequence number 76 in trip L3149"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L314"
L314,"Timetravel detected! Arrival time is before previous departure at sequence number 51 in trip L314"
L3150,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3150"
L3150,"Timetravel detected! Arrival time is before previous departure at sequence number 60 in trip L3150"
L3150,"Timetravel detected! Arrival time is before previous departure at sequence number 77 in trip L3150"
L3157,"Timetravel detected! Arrival time is before previous departure at sequence number 56 in trip L3157"
L3157,"Timetravel detected! Arrival time is before previous departure at sequence number 63 in trip L3157"
L3157,"Timetravel detected! Arrival time is before previous departure at sequence number 65 in trip L3157"
L3157,"Timetravel detected! Arrival time is before previous departure at sequence number 66 in trip L3157"
L3157,"Timetravel detected! Arrival time is before previous departure at sequence number 67 in trip L3157"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L3158"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L3158"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L3158"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3158"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L3158"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L3158"
L3158,"Timetravel detected! Arrival time is before previous departure at sequence number 68 in trip L3158"
L315,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L315"
L315,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L315"
L315,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L315"
L315,"Timetravel detected! Arrival time is before previous departure at sequence number 48 in trip L315"
L3164,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L3164"
L3164,"Timetravel detected! Arrival time is before previous departure at sequence number 57 in trip L3164"
L316,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L316"
L316,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L316"
L316,"Timetravel detected! Arrival time is before previous departure at sequence number 48 in trip L316"
L3172,"Timetravel detected! Arrival time is before previous departure at sequence number 57 in trip L3172"
L3172,"Timetravel detected! Arrival time is before previous departure at sequence number 72 in trip L3172"
L3172,"Timetravel detected! Arrival time is before previous departure at sequence number 87 in trip L3172"
L3172,"Timetravel detected! Arrival time is before previous departure at sequence number 96 in trip L3172"
L3174,"Timetravel detected! Arrival time is before previous departure at sequence number 112 in trip L3174"
L3174,"Timetravel detected! Arrival time is before previous departure at sequence number 79 in trip L3174"
L3174,"Timetravel detected! Arrival time is before previous departure at sequence number 83 in trip L3174"
L3174,"Timetravel detected! Arrival time is before previous departure at sequence number 99 in trip L3174"
L3181,"Timetravel detected! Arrival time is before previous departure at sequence number 138 in trip L3181"
L3181,"Timetravel detected! Arrival time is before previous departure at sequence number 141 in trip L3181"
L3181,"Timetravel detected! Arrival time is before previous departure at sequence number 142 in trip L3181"
L3181,"Timetravel detected! Arrival time is before previous departure at sequence number 144 in trip L3181"
L3183,"Timetravel detected! Arrival time is before previous departure at sequence number 103 in trip L3183"
L3183,"Timetravel detected! Arrival time is before previous departure at sequence number 84 in trip L3183"
L3185,"Timetravel detected! Arrival time is before previous departure at sequence number 116 in trip L3185"
L3189,"High speed travel detected in trip L3189: SHIRWAL to SWARGATE, PUNE. 41308 meters in 1440 seconds. (103 km/h)."
L318,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L318"
L3199,"Timetravel detected! Arrival time is before previous departure at sequence number 105 in trip L3199"
L3199,"Timetravel detected! Arrival time is before previous departure at sequence number 106 in trip L3199"
L319,"High speed travel detected in trip L319: AMBAJOGAI to KAIJ. 33847 meters in 900 seconds. (135 km/h)."
L319,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L319"
L319,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L319"
L319,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L319"
L3201,"Timetravel detected! Arrival time is before previous departure at sequence number 57 in trip L3201"
L3201,"Timetravel detected! Arrival time is before previous departure at sequence number 62 in trip L3201"
L3201,"Timetravel detected! Arrival time is before previous departure at sequence number 66 in trip L3201"
L3201,"Timetravel detected! Arrival time is before previous departure at sequence number 69 in trip L3201"
L3202,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L3202"
L3202,"Timetravel detected! Arrival time is before previous departure at sequence number 66 in trip L3202"
L3203,"Timetravel detected! Arrival time is before previous departure at sequence number 113 in trip L3203"
L3203,"Timetravel detected! Arrival time is before previous departure at sequence number 116 in trip L3203"
L3204,"Timetravel detected! Arrival time is before previous departure at sequence number 122 in trip L3204"
L3204,"Timetravel detected! Arrival time is before previous departure at sequence number 83 in trip L3204"
L3206,"Timetravel detected! Arrival time is before previous departure at sequence number 77 in trip L3206"
L3206,"Timetravel detected! Arrival time is before previous departure at sequence number 94 in trip L3206"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L320"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L320"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L320"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L320"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L320"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L320"
L320,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L320"
L3210,"Timetravel detected! Arrival time is before previous departure at sequence number 54 in trip L3210"
L3213,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L3213"
L3213,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L3213"
L3216,"Timetravel detected! Arrival time is before previous departure at sequence number 54 in trip L3216"
L321,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L321"
L321,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L321"
L321,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L321"
L3221,"Timetravel detected! Arrival time is before previous departure at sequence number 60 in trip L3221"
L3221,"Timetravel detected! Arrival time is before previous departure at sequence number 63 in trip L3221"
L322,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L322"
L322,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L322"
L322,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L322"
L322,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L322"
L3234,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L3234"
L3235,"Duplicate stop_sequence in trip_id L3235"
L3235,"High speed travel detected in trip L3235: ASHTA to SANGLI. 19512 meters in 540 seconds. (130 km/h)."
L3235,"High speed travel detected in trip L3235: KARAD to KASEGAON. 17629 meters in 480 seconds. (132 km/h)."
L3235,"Timetravel detected! Arrival time is before previous departure at sequence number 119 in trip L3235"
L3235,"Timetravel detected! Arrival time is before previous departure at sequence number 126 in trip L3235"
L3235,"Timetravel detected! Arrival time is before previous departure at sequence number 38 in trip L3235"
L3236,"Duplicate stop_sequence in trip_id L3236"
L3236,"Timetravel detected! Arrival time is before previous departure at sequence number 130 in trip L3236"
L3236,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L3236"
L3236,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3236"
L3236,"Timetravel detected! Arrival time is before previous departure at sequence number 78 in trip L3236"
L3236,"Timetravel detected! Arrival time is before previous departure at sequence number 93 in trip L3236"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 13 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L3242"
L3242,"Timetravel detected! Arrival time is before previous departure at sequence number 68 in trip L3242"
L3245,"High speed travel detected in trip L3245: PALI to BORIVALI NANCY COLONY. 259252 meters in 9300 seconds. (100 km/h)."
L3245,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L3245"
L3245,"Timetravel detected! Arrival time is before previous departure at sequence number 60 in trip L3245"
L3245,"Timetravel detected! Arrival time is before previous departure at sequence number 72 in trip L3245"
L3246,"Timetravel detected! Arrival time is before previous departure at sequence number 54 in trip L3246"
L3246,"Timetravel detected! Arrival time is before previous departure at sequence number 62 in trip L3246"
L3246,"Timetravel detected! Arrival time is before previous departure at sequence number 77 in trip L3246"
L324,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L324"
L324,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L324"
L324,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L324"
L324,"Timetravel detected! Arrival time is before previous departure at sequence number 56 in trip L324"
L325,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L325"
L3265,"Timetravel detected! Arrival time is before previous departure at sequence number 66 in trip L3265"
L3265,"Timetravel detected! Arrival time is before previous departure at sequence number 69 in trip L3265"
L3265,"Timetravel detected! Arrival time is before previous departure at sequence number 72 in trip L3265"
L3266,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3266"
L3266,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L3266"
L3266,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L3266"
L3266,"Timetravel detected! Arrival time is before previous departure at sequence number 59 in trip L3266"
L3267,"Timetravel detected! Arrival time is before previous departure at sequence number 47 in trip L3267"
L3267,"Timetravel detected! Arrival time is before previous departure at sequence number 79 in trip L3267"
L3267,"Timetravel detected! Arrival time is before previous departure at sequence number 80 in trip L3267"
L3268,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L3268"
L3268,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3268"
L3268,"Timetravel detected! Arrival time is before previous departure at sequence number 64 in trip L3268"
L326,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L326"
L326,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L326"
L326,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L326"
L326,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L326"
L326,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L326"
L326,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L326"
L3276,"Departure time before arrival time"
L3297,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L3297"
L3297,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3297"
L3297,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L3297"
L3297,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L3297"
L329,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L329"
L3306,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L3306"
L330,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L330"
L330,"Timetravel detected! Arrival time is before previous departure at sequence number 51 in trip L330"
L331092,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L331092"
L332,"High speed travel detected in trip L332: MUMBAI CENTRAL to KURLA NEHRU NAGAR. 11751 meters in 300 seconds. (141 km/h)."
L3341,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L3341"
L3343,"Timetravel detected! Arrival time is before previous departure at sequence number 42 in trip L3343"
L335,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L335"
L335,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L335"
L335,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L335"
L335,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L335"
L335,"Timetravel detected! Arrival time is before previous departure at sequence number 51 in trip L335"
L336,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L336"
L336,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L336"
L336,"Timetravel detected! Arrival time is before previous departure at sequence number 43 in trip L336"
L336,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L336"
L336,"Timetravel detected! Arrival time is before previous departure at sequence number 49 in trip L336"
L3386,"Timetravel detected! Arrival time is before previous departure at sequence number 52 in trip L3386"
L3394,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L3394"
L339,"High speed travel detected in trip L339: DHARUR to KAIJ. 12789 meters in 0 seconds."
L3411,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L3411"
L3411,"Timetravel detected! Arrival time is before previous departure at sequence number 78 in trip L3411"
L3411,"Timetravel detected! Arrival time is before previous departure at sequence number 79 in trip L3411"
L3411,"Timetravel detected! Arrival time is before previous departure at sequence number 88 in trip L3411"
L3413,"Timetravel detected! Arrival time is before previous departure at sequence number 84 in trip L3413"
L341,"High speed travel detected in trip L341: KALYAN to BHIVANDI. 10032 meters in 300 seconds. (120 km/h)."
L3446,"Timetravel detected! Arrival time is before previous departure at sequence number 130 in trip L3446"
L3446,"Timetravel detected! Arrival time is before previous departure at sequence number 94 in trip L3446"
L3446,"Timetravel detected! Arrival time is before previous departure at sequence number 99 in trip L3446"
L3447,"Timetravel detected! Arrival time is before previous departure at sequence number 120 in trip L3447"
L3447,"Timetravel detected! Arrival time is before previous departure at sequence number 121 in trip L3447"
L3447,"Timetravel detected! Arrival time is before previous departure at sequence number 130 in trip L3447"
L3453,"Timetravel detected! Arrival time is before previous departure at sequence number 74 in trip L3453"
L3453,"Timetravel detected! Arrival time is before previous departure at sequence number 87 in trip L3453"
L3453,"Timetravel detected! Arrival time is before previous departure at sequence number 88 in trip L3453"
L3454,"Timetravel detected! Arrival time is before previous departure at sequence number 57 in trip L3454"
L3454,"Timetravel detected! Arrival time is before previous departure at sequence number 86 in trip L3454"
L3459,"Timetravel detected! Arrival time is before previous departure at sequence number 154 in trip L3459"
L3459,"Timetravel detected! Arrival time is before previous departure at sequence number 157 in trip L3459"
L3459,"Timetravel detected! Arrival time is before previous departure at sequence number 158 in trip L3459"
L3459,"Timetravel detected! Arrival time is before previous departure at sequence number 159 in trip L3459"
L345,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L345"
L345,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L345"
L3460,"Timetravel detected! Arrival time is before previous departure at sequence number 114 in trip L3460"
L3460,"Timetravel detected! Arrival time is before previous departure at sequence number 118 in trip L3460"
L3460,"Timetravel detected! Arrival time is before previous departure at sequence number 122 in trip L3460"
L3460,"Timetravel detected! Arrival time is before previous departure at sequence number 163 in trip L3460"
L346,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L346"
L346,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L346"
L346,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L346"
L346,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L346"
L347,"Timetravel detected! Arrival time is before previous departure at sequence number 53 in trip L347"
L351,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L351"
L3556,"Timetravel detected! Arrival time is before previous departure at sequence number 14 in trip L3556"
L35,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L35"
L35,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L35"
L35,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L35"
L35,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L35"
L363,"Timetravel detected! Arrival time is before previous departure at sequence number 25 in trip L363"
L363,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L363"
L363,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L363"
L364,"Timetravel detected! Arrival time is before previous departure at sequence number 17 in trip L364"
L364,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L364"
L364,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L364"
L368,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L368"
L36,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L36"
L3708,"High speed travel detected in trip L3708: SATARA to PACHWAD. 19735 meters in 600 seconds. (118 km/h)."
L3708,"High speed travel detected in trip L3708: THANE VANDANA to BORIVALI SUKURWADI. 12231 meters in 300 seconds. (147 km/h)."
L3714,"Timetravel detected! Arrival time is before previous departure at sequence number 60 in trip L3714"
L3714,"Timetravel detected! Arrival time is before previous departure at sequence number 61 in trip L3714"
L371,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L371"
L371,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L371"
L3721,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L3721"
L3721,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3721"
L3721,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L3721"
L3721,"Timetravel detected! Arrival time is before previous departure at sequence number 48 in trip L3721"
L372,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L372"
L372,"Timetravel detected! Arrival time is before previous departure at sequence number 24 in trip L372"
L372,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L372"
L372,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L372"
L3735,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L3735"
L3735,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L3735"
L3735,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L3735"
L3735,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3735"
L3735,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3735"
L3735,"Timetravel detected! Arrival time is before previous departure at sequence number 50 in trip L3735"
L3739,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L3739"
L3739,"Timetravel detected! Arrival time is before previous departure at sequence number 27 in trip L3739"
L3739,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L3739"
L3739,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L3739"
L3739,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L3739"
L3739,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L3739"
L3740,"Timetravel detected! Arrival time is before previous departure at sequence number 22 in trip L3740"
L3740,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L3740"
L3740,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L3740"
L3755,"High speed travel detected in trip L3755: KADA to ASHTI. 14907 meters in 300 seconds. (179 km/h)."
L3781,"Timetravel detected! Arrival time is before previous departure at sequence number 18 in trip L3781"
L3781,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L3781"
L3781,"Timetravel detected! Arrival time is before previous departure at sequence number 30 in trip L3781"
L3781,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3781"
L3798,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L3798"
L3798,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L3798"
L3798,"Timetravel detected! Arrival time is before previous departure at sequence number 41 in trip L3798"
L3802,"High speed travel detected in trip L3802: SATARA to PACHWAD. 19735 meters in 600 seconds. (118 km/h)."
L3804,"High speed travel detected in trip L3804: SATARA to PACHWAD. 19735 meters in 600 seconds. (118 km/h)."
L3806,"High speed travel detected in trip L3806: SATARA to PACHWAD. 19735 meters in 600 seconds. (118 km/h)."
L3806,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3806"
L3810,"High speed travel detected in trip L3810: SATARA to PACHWAD. 19735 meters in 600 seconds. (118 km/h)."
L3812,"High speed travel detected in trip L3812: SATARA to PACHWAD. 19735 meters in 600 seconds. (118 km/h)."
L3815,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L3815"
L3815,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3815"
L3815,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3815"
L3815,"Timetravel detected! Arrival time is before previous departure at sequence number 38 in trip L3815"
L3815,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L3815"
L3824,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3824"
L3824,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L3824"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L3837"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 31 in trip L3837"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 32 in trip L3837"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L3837"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 34 in trip L3837"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 36 in trip L3837"
L3837,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3837"
L3845,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L3845"
L3845,"Timetravel detected! Arrival time is before previous departure at sequence number 37 in trip L3845"
L3845,"Timetravel detected! Arrival time is before previous departure at sequence number 40 in trip L3845"
L3845,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L3845"
L3846,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L3846"
L3846,"Timetravel detected! Arrival time is before previous departure at sequence number 45 in trip L3846"
L3846,"Timetravel detected! Arrival time is before previous departure at sequence number 55 in trip L3846"
L3867,"High speed travel detected in trip L3867: BHUINJ to PACHWAD. 2124 meters in 0 seconds."
L3867,"High speed travel detected in trip L3867: SATARA to KARAD. 49421 meters in 0 seconds."
L3867,"Timetravel detected! Arrival time is before previous departure at sequence number 28 in trip L3867"
L3940,"Duplicate stop_sequence in trip_id L3940"
L3940,"Timetravel detected! Arrival time is before previous departure at sequence number 33 in trip L3940"
L3940,"Timetravel detected! Arrival time is before previous departure at sequence number 39 in trip L3940"
L3940,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L3940"
L3940,"Timetravel detected! Arrival time is before previous departure at sequence number 46 in trip L3940"
L3941,"Duplicate stop_sequence in trip_id L3941"
L3941,"Timetravel detected! Arrival time is before previous departure at sequence number 3 in trip L3941"
L3961,"High speed travel detected in trip L3961: MANGAON to TASGAON. 194059 meters in 1260 seconds. (554 km/h)."
L3961,"The last stop_time in trip L3961 is missing times."
L399,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L399"
L399,"Timetravel detected! Arrival time is before previous departure at sequence number 26 in trip L399"
L399,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L399"
L4000,"Timetravel detected! Arrival time is before previous departure at sequence number 55 in trip L4000"
L4000,"Timetravel detected! Arrival time is before previous departure at sequence number 74 in trip L4000"
L4000,"Timetravel detected! Arrival time is before previous departure at sequence number 75 in trip L4000"
L4005,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L4005"
L4006,"Timetravel detected! Arrival time is before previous departure at sequence number 35 in trip L4006"
L400,"Timetravel detected! Arrival time is before previous departure at sequence number 19 in trip L400"
L400,"Timetravel detected! Arrival time is before previous departure at sequence number 20 in trip L400"
L400,"Timetravel detected! Arrival time is before previous departure at sequence number 21 in trip L400"
L400,"Timetravel detected! Arrival time is before previous departure at sequence number 23 in trip L400"
L400,"Timetravel detected! Arrival time is before previous departure at sequence number 29 in trip L400"
L4011,"Timetravel detected! Arrival time is before previous departure at sequence number 44 in trip L4011"
