trip_id,arrival_time,departure_time,stop_id,stop_sequence
129,06:15:00,06:15:00,1469,2
130,06:40:00,06:40:00,1468,1
130,06:45:00,06:45:00,1469,2
131,07:00:00,07:00:00,1468,1
131,07:05:00,07:05:00,1469,2
132,07:30:00,07:30:00,1468,1
132,07:35:00,07:35:00,1469,2
133,10:10:00,10:10:00,1468,1
133,10:15:00,10:15:00,1469,2
134,18:05:00,18:05:00,1468,1
134,18:10:00,18:10:00,1469,2
135,19:30:00,19:30:00,1468,1
135,19:35:00,19:35:00,1469,2
136,21:10:00,21:10:00,1468,1
136,21:15:00,21:15:00,1469,2
186,06:45:00,06:45:00,1470,1
186,06:50:00,06:50:00,1471,2
187,06:00:00,06:00:00,1470,1
187,06:05:00,06:05:00,1471,2
188,06:15:00,06:15:00,1470,1
188,06:20:00,06:20:00,1471,2
189,10:00:00,10:00:00,1470,1
189,10:05:00,10:05:00,1471,2
190,12:00:00,12:00:00,1470,1
190,12:05:00,12:05:00,1471,2
191,13:30:00,13:30:00,1470,1
191,13:35:00,13:35:00,1471,2
192,14:00:00,14:00:00,1470,1
192,14:05:00,14:05:00,1471,2
193,16:15:00,16:15:00,1470,1
193,16:20:00,16:20:00,1471,2
194,21:00:00,21:00:00,1470,1
194,21:05:00,21:05:00,1471,2
195,21:15:00,21:15:00,1470,1
195,21:20:00,21:20:00,1471,2
196,06:00:00,06:00:00,1471,1
196,06:05:00,06:05:00,1470,2
197,06:15:00,06:15:00,1471,1
197,06:20:00,06:20:00,1470,2
198,06:45:00,06:45:00,1471,1
198,06:50:00,06:50:00,1470,2
199,10:00:00,10:00:00,1471,1
199,10:05:00,10:05:00,1470,2
200,12:00:00,12:00:00,1471,1
200,12:05:00,12:05:00,1470,2
201,13:30:00,13:30:00,1471,1
201,13:35:00,13:35:00,1470,2
202,14:00:00,14:00:00,1471,1
202,14:05:00,14:05:00,1470,2
203,16:15:00,16:15:00,1471,1
203,16:20:00,16:20:00,1470,2
204,21:00:00,21:00:00,1471,1
204,21:05:00,21:05:00,1470,2
205,21:15:00,21:15:00,1471,1
205,21:20:00,21:20:00,1470,2
314,06:00:00,06:00:00,1683,1
314,06:15:00,06:15:00,1684,2
315,07:20:00,07:20:00,1683,1
315,07:35:00,07:35:00,1684,2
316,10:15:00,10:15:00,1683,1
316,10:30:00,10:30:00,1684,2
317,12:40:00,12:40:00,1683,1
317,12:55:00,12:55:00,1684,2
318,17:10:00,17:10:00,1683,1
318,17:25:00,17:25:00,1684,2
319,14:45:00,14:45:00,1683,1
319,15:00:00,15:00:00,1684,2
320,18:15:00,18:15:00,1683,1
320,18:30:00,18:30:00,1684,2
321,18:40:00,18:40:00,1683,1
321,18:55:00,18:55:00,1684,2
322,20:15:00,20:15:00,1683,1
322,20:30:00,20:30:00,1684,2
323,21:00:00,21:00:00,1683,1
323,21:15:00,21:15:00,1684,2
324,06:00:00,06:00:00,1684,1
324,06:15:00,06:15:00,1683,2
325,07:20:00,07:20:00,1684,1
325,07:35:00,07:35:00,1683,2
326,10:15:00,10:15:00,1684,1
326,10:30:00,10:30:00,1683,2
327,12:40:00,12:40:00,1684,1
327,12:55:00,12:55:00,1683,2
328,14:45:00,14:45:00,1684,1
328,15:00:00,15:00:00,1683,2
329,17:10:00,17:10:00,1684,1
329,17:25:00,17:25:00,1683,2
330,18:15:00,18:15:00,1684,1
330,18:30:00,18:30:00,1683,2
331,20:35:00,20:35:00,1683,1
331,20:50:00,20:50:00,1684,2
332,18:40:00,18:40:00,1684,1
332,18:55:00,18:55:00,1683,2
333,20:15:00,20:15:00,1684,1
333,20:30:00,20:30:00,1683,2
334,20:35:00,20:35:00,1684,1
334,20:50:00,20:50:00,1683,2
335,21:00:00,21:00:00,1684,1
335,21:15:00,21:15:00,1683,2
212,06:00:00,06:00:00,1686,1
212,06:10:00,06:10:00,1685,2
213,11:00:00,11:00:00,1686,1
213,11:10:00,11:10:00,1685,2
214,12:00:00,12:00:00,1686,1
214,12:10:00,12:10:00,1685,2
215,12:45:00,12:45:00,1686,1
215,12:55:00,12:55:00,1685,2
216,13:30:00,13:30:00,1686,1
216,13:40:00,13:40:00,1685,2
217,14:00:00,14:00:00,1686,1
217,14:10:00,14:10:00,1685,2
218,17:30:00,17:30:00,1686,1
218,17:40:00,17:40:00,1685,2
219,06:15:00,06:15:00,1685,1
219,06:25:00,06:25:00,1686,2
220,10:30:00,10:30:00,1685,1
220,10:40:00,10:40:00,1686,2
221,13:00:00,13:00:00,1685,1
221,13:10:00,13:10:00,1686,2
222,13:45:00,13:45:00,1685,1
222,13:55:00,13:55:00,1686,2
223,14:30:00,14:30:00,1685,1
223,14:40:00,14:40:00,1686,2
224,17:15:00,17:15:00,1685,1
224,17:25:00,17:25:00,1686,2
180,06:30:00,06:30:00,1688,1
180,06:35:00,06:35:00,1687,2
181,05:50:00,05:50:00,1688,1
181,05:55:00,05:55:00,1687,2
182,20:30:00,20:30:00,1688,1
182,20:35:00,20:35:00,1687,2
183,06:15:00,06:15:00,1687,1
183,06:20:00,06:20:00,1688,2
184,06:40:00,06:40:00,1687,1
184,06:45:00,06:45:00,1688,2
185,20:40:00,20:40:00,1687,1
185,20:45:00,20:45:00,1688,2
206,06:00:00,06:00:00,1689,1
206,06:05:00,06:05:00,1690,2
207,23:00:00,23:00:00,1689,1
207,23:05:00,23:05:00,1690,2
208,23:30:00,23:30:00,1689,1
208,23:30:00,23:30:00,1690,2
209,18:15:00,18:15:00,1690,1
209,18:20:00,18:20:00,1689,2
210,22:45:00,22:45:00,1690,1
210,22:50:00,22:50:00,1689,2
211,23:15:00,23:15:00,1690,1
211,23:20:00,23:20:00,1689,2
280,06:40:00,06:40:00,1692,1
280,06:50:00,06:50:00,1691,2
281,07:00:00,07:00:00,1691,1
281,07:10:00,07:10:00,1692,2
282,07:15:00,07:15:00,1692,1
282,07:25:00,07:25:00,1691,2
283,13:00:00,13:00:00,1692,1
283,13:10:00,13:10:00,1691,2
284,17:40:00,17:40:00,1692,1
284,17:50:00,17:50:00,1691,2
285,15:45:00,15:45:00,1692,1
285,15:55:00,15:55:00,1691,2
286,18:15:00,18:15:00,1692,1
286,18:25:00,18:25:00,1691,2
287,18:45:00,18:45:00,1692,1
287,18:55:00,18:55:00,1691,2
