stop_name,stop_code,latitude,longitude
BHOJAPUR DEV,BHJPRDV,19.67263,74.04833
BHULEGAON,BHLGN,19.98827,74.663711
BHONSALA MILITARY SCHOOL,BHMLSC,20.011995,73.753818
BHORMAL,BHRAL,20.561825,73.582606
BHARDI,BHRDI,20.345155,74.515106
BHARDI FATA,BHRF,20.29304,74.476984
BHARAM,BHRM,20.067543,74.673915
BHOSARI,BHSRI,18.618618,73.827141
BHOYEGAON,BHYE,20.214326,74.173228
BHOYE VASTI,BHYVST,20.54173,73.528832
BHINGARE,BIGYN,20.008676,74.372458
BAIROBCHI WADI,BIOSN,19.789488,74.067066
BEJGAON FATA,BJANN,20.252346,74.535031
BEJE FATA,BJEAA,19.95552,73.600969
BIJORE,BJRE,20.443464,74.172254
BOKADAR,BKDR,20.07056,74.1968
BAKURDE,BKRKN,20.527645,73.830317
BELBARE,BLBRE,20.4785,73.92325
BALGAON DHAGA,BLDG,19.977313,73.693768
BELGAON DHAGA FATA,BLGAAA,19.97352,73.68543
BABHULGAON,BLGN,20.069391,74.445143
BEALGAON DHAGA,BLGNDHG,19.966069,73.660764
BOLKI,BLKI,20.593002,73.809147
BALAPUR,BLPNSK,20.156921,74.430776
BOMBALEWASTI,BMBLT,20.19987,73.91058
BHANWAD FATA,BNADFT,20.34245,73.62375
BANGALI BABA,BNASN,19.920496,73.884224
BINNER MALA,BNESN,19.73145,73.96061
BANGALI BABA,BNGLBA,19.88928,73.935464
BANDGAON,BNGNN,20.224526,74.658808
BANPIMPLA,BNIMGP,20.437834,74.175104
BANPADA,BNPD,20.548009,73.650038
BHOLARPADA FATA,BOADN,20.410124,73.677027
BHOKANI,BOASN,20.034553,73.806206
BHOKANI FATA,BOASNK,19.83113,74.14001
BORIPADA,BOIDATN,20.135771,73.349511
BHOKANE FATA,BOKAIA,19.83062,74.142412
BOKTA,BOKTAYN,19.970251,74.601528
BORAGAON,BORO,20.507703,73.75394
BOTA,BOTA,19.258147,74.141734
BAPKHADA VILLAGE,BPHKN,20.572035,73.807077
BOPANE FATA,BPNEFT,20.262754,74.246042
BERWADI,BRASN,19.973214,74.015606
BOR GAVATHA,BRGV,20.624448,73.595803
BARHE,BRHE,20.439457,73.526151
BRAHMANWADA,BRHMWD,20.032267,73.536193
BORKHIND FATA,BRHSN,19.805177,73.867046
BRAHMA VALLEY,BRHVALY,19.95195,73.56964
BRIDGE,BRIDGENN,20.006447,73.629795
BORALE,BRLDN,20.277622,73.939582
BARI GAVTHA,BRSN,20.614471,73.608529
BIO SECURITY COMPANY,BSCNYD,20.33033,73.96764
BORASTE VASTI,BSTEVS,20.193218,73.795953
BHATWADI FATA,BTDIFT,19.832095,73.985013
BHATGAON,BTG,20.285443,74.153757
BHUTMOKHADA,BTKMHD,20.082378,73.348123
BUNDHATE,BUDTE,20.634184,74.043466
BHUSE VILLEGE,BUENN,20.005815,74.086707
BHUSNI FATA,BUNKN,20.445408,74.017899
BORADE VASTI,BV,20.036616,74.370028
BUVACHA PADA FATA,BVACHPDFT,19.972676,73.493506
BHAVADI FATA,BVF,20.4053,74.16266
BRAHMA VALLEY FATA,BVFT,19.953361,73.585755
BOYEGAON,BYGNN,20.344106,74.504688
BHAYALE FATA,BYLEFT,20.28133,74.10166
BYTCO TALKIES,BYTC,19.95404,73.8376
BYTCO,BYTCO,19.95328,73.83937
BEZE FATA,BZTN,19.958715,73.614261
CHAS/NANDUR SHINGOTE FATA,CA/SN,19.6714,74.04891
CHANAKHA FATA,CAAFTWY,20.500265,73.974738
CHANAKAPUR,CAAKN,20.500265,73.974738
CHAPADGAON,CAANN,20.011386,74.073121
CHAPADGAON,CAASNZ,19.67657,74.04872
CHANDGAON FATA,CADYN,20.169061,74.473798
CHAUGAON BARI,CAGANSN,20.638723,74.260431
CHACHER FATA,CAHKN,20.553093,74.002216
CHARI,CAIMN,20.0856,74.13626
CHANDWAD FATA,CANDAA,20.367487,74.154197
CHASNALI,CANKA,19.96209,74.299019
COAL DEPOT FATA,CANN,20.012363,73.795871
CANAL,CANNS,20.06629,73.90894
CANOL,CANOLN,20.18595,73.88607
CHAROSA,CAODN,20.32033,73.67894
